"1","一个陌生女人的来信","10-12岁","10-12岁"
"2","觉醒","10-12岁","10-12岁"
"3","小城畸人","10-12岁","10-12岁"
"4","都柏林人","10-12岁","10-12岁"
"5","鲁滨孙漂流记","10-12岁","10-12岁"
"6","走投无路","10-12岁","10-12岁"
"7","水仙号上的黑鬼","10-12岁","10-12岁"
"8","苹果树","7-9岁","7-9岁"
"9","劝导","10-12岁","10-12岁"
"10","鼠疫","10-12岁","10-12岁"
"11","简 爱"
"12","远大前程","10-12岁","10-12岁"
"13","雾都孤儿","10-12岁","10-12岁"
"14","了不起的盖茨比","10-12岁","10-12岁"
"15","戴西 米勒"
"16","伊凡 伊里奇之死"
"17","童年","10-12岁","10-12岁"
"18","吝啬鬼","10-12岁","10-12岁"
"19","卡门","10-12岁","10-12岁"
"20","科隆巴","10-12岁","10-12岁"
"21","双重人格","10-12岁","10-12岁"
"22","黑郁金香","10-12岁","10-12岁"
"23","变形记","10-12岁","10-12岁"
"24","秘密花园","7-9岁","7-9岁"
"25","教师","10-12岁","10-12岁"
"26","地下城","7-9岁","7-9岁"
"27","神秘岛","7-9岁","7-9岁"
"28","从地球到月球","7-9岁","7-9岁"
"29","水晶蛋","7-9岁","7-9岁"
"30","新型加速剂","10-12岁","10-12岁"
"31","时光机器","10-12岁","10-12岁"
"32","三人同舟","10-12岁","10-12岁"
"33","懒人闲思录","10-12岁","10-12岁"
"34","海浪","10-12岁","10-12岁"
"35","小人物日记","10-12岁","10-12岁"
"36","雅各布哥哥","10-12岁","10-12岁"
"37","卡特里奥娜","10-12岁","10-12岁"
"38","金银岛","10-12岁","10-12岁"
"39","英国的文艺复兴","10-12岁","10-12岁"
"40","石榴屋童话集","7-9岁","7-9岁"
"41","平凡人和他的妻子","10-12岁","10-12岁"
"42","悠游度过一天的24小时","10-12岁","10-12岁"
"43","寻找精神家园","10-12岁","10-12岁"
"44","琐事集","10-12岁","10-12岁"
"45","芝麻与百合","7-9岁","7-9岁"
"46","文艺复兴","10-12岁","10-12岁"
"47","漫游东西世界","7-9岁","7-9岁"
"48","四季随笔","10-12岁","10-12岁"
"49","塞文山驴伴之旅","7-9岁","7-9岁"
"50","我的知识之路","10-12岁","10-12岁"
"51","我的童年","10-12岁","10-12岁"
"52","凯尔特的薄暮","10-12岁","10-12岁"
"53","小王子","7-9岁","7-9岁"
"54","鞋","7-9岁","7-9岁"
"55","迷人的侧影","10-12岁","10-12岁"
"56","生活的陀螺","10-12岁","10-12岁"
"57","新婚的姊妹们","10-12岁","10-12岁"
"58","城市佬","10-12岁","10-12岁"
"59","华而不实","10-12岁","10-12岁"
"60","二十年后","10-12岁","10-12岁"
"61","自然调节","10-12岁","10-12岁"
"62","回合之间","10-12岁","10-12岁"
"63","口信","10-12岁","10-12岁"
"64","托宾的手相","7-9岁","7-9岁"
"65","三叶草和棕榈树","7-9岁","7-9岁"
"66","爱的牺牲","10-12岁","10-12岁"
"67","一千美元","7-9岁","7-9岁"
"68","闪锌矿的卖主","7-9岁","7-9岁"
"69","黄狗自传","7-9岁","7-9岁"
"70","红酋长的赎金","7-9岁","7-9岁"
"71","绿门","10-12岁","10-12岁"
"72","带家具出租的房间","10-12岁","10-12岁"
"73","钟摆","10-12岁","10-12岁"
"74","警察与赞美诗","10-12岁","10-12岁"
"75","圣贤的礼物","7-9岁","7-9岁"
"76","失语漫游","10-12岁","10-12岁"
"77","丛林中的孩子","7-9岁","7-9岁"
"78","第五个车轮","7-9岁","7-9岁"
"79","姑娘和骗局","7-9岁","7-9岁"
"80","闪光的金子","7-9岁","7-9岁"
"81","诗人与乡巴佬","7-9岁","7-9岁"
"82","安宁的长袍","10-12岁","10-12岁"
"83","哈里发、丘比特和时钟","7-9岁","7-9岁"
"84","带天窗的房间","10-12岁","10-12岁"
"85","一个离奇的故事","7-9岁","7-9岁"
"86","与睡神抗争","7-9岁","7-9岁"
"87","恭贺佳节","10-12岁","10-12岁"
"88","同病相怜","10-12岁","10-12岁"
"89","决斗","10-12岁","10-12岁"
"90","最后的行吟诗人","10-12岁","10-12岁"
"91","最后的处方","10-12岁","10-12岁"
"92","沙姆罗克 乔尔摩斯历险记"
"93","“干谷”约翰逊的小阳春","10-12岁","10-12岁"
"94","公主与美洲狮","7-9岁","7-9岁"
"95","麦克的赎金","7-9岁","7-9岁"
"96","巴格达之鸡","7-9岁","7-9岁"
"97","哈里发和莽汉","7-9岁","7-9岁"
"98","带磨坊的教堂","10-12岁","10-12岁"
"99","复活日那天","7-9岁","7-9岁"
"100","姑娘与习惯","7-9岁","7-9岁"
"101","灵魂和摩天大楼","10-12岁","10-12岁"
"102","新天方夜谭","7-9岁","7-9岁"
"103","风险家","10-12岁","10-12岁"
"104","篝火旁的纽约","10-12岁","10-12岁"
"105","最后一片藤叶","10-12岁","10-12岁"
"106","瓶中手稿","10-12岁","10-12岁"
"107","绝境","10-12岁","10-12岁"
"108","言语的力量","10-12岁","10-12岁"
"109","骗术","10-12岁","10-12岁"
"110","跳蛙","7-9岁","7-9岁"
"111","同木乃伊对话","7-9岁","7-9岁"
"112","焦油博士和羽毛教授的疗法","10-12岁","10-12岁"
"113","眼镜","7-9岁","7-9岁"
"114","生意人","10-12岁","10-12岁"
"115","斯芬克司","7-9岁","7-9岁"
"116","钟楼里的魔鬼","7-9岁","7-9岁"
"117","气球骗局","10-12岁","10-12岁"
"118","一桶白葡萄酒","10-12岁","10-12岁"
