"en","zh"
"Snow-White and Rose-Red","雪白与玫瑰红"
"by Andrew Lang","作者：安德鲁·朗格"
"A poor widow once lived in a little cottage with a garden in front of it, in which grew two rose trees, one bearing white roses and the other red.","从前，在一个小农舍里住着一位贫穷的寡妇。农舍的前面是座花园，花园里栽着两株玫瑰树，一株开白玫瑰，另一株开红玫瑰。"
"She had two children, who were just like the two rose trees; one was called Snow-white and the other Rose-red, and they were the sweetest and best children in the world, always diligent and always cheerful; but Snow-white was quieter and more gentle than Rose-red.","这个寡妇有两个孩子，就像两株玫瑰一样。一个叫雪白，一个叫玫瑰红，她们是世上最甜美、最顶呱呱的孩子。她们一向吃苦耐劳，总是快快乐乐的。但是，和玫瑰红相比，雪白则更显文静温和。"
"Rose-red loved to run about the fields and meadows, and to pick flowers and catch butterflies; but Snow-white sat at home with her mother and helped her in the household, or read aloud to her when there was no work to do.","玫瑰红喜欢在田间草地跑来跑去，还喜欢摘花和扑蝴蝶；而雪白就和妈妈呆在家里，帮妈妈干些家务活，或在闲暇时大声朗读故事给妈妈听。"
"The two children loved each other so dearly that they always walked about hand in hand whenever they went out together, and when Snow-white said, “We will never desert each other,” Rose-red answered: “No, not as long as we live”; and the mother added: “Whatever one gets she shall share with the other.”","两个姐妹感情至深，不管什么时候，只要她们一块儿外出散步，总是手挽着手。当雪白说：“我们决不会分开。”玫瑰红就会回答：“只要我们活着，就不会分开。”妈妈则会加上一句：“有福同享，有难同当。”"
"They often roamed about in the woods gathering berries and no beast offered to hurt them; on the contrary, they came up to them in the most confiding manner; the little hare would eat a cabbage leaf from their hands, the deer grazed beside them, the stag would bound past them merrily, and the birds remained on the branches and sang to them with all their might.","她们常常跑进森林采摘红浆果，野兽从不伤害她们，相反，它们以最亲热的方式接近她们。小兔啃食她们手中的白菜叶，小鹿在她们身旁吃着草，小马在她们身边活蹦乱跳，还有小鸟儿坐在枝丫上，尽情地为他们唱歌。","","","","sang to them是“为他们唱歌”-0.2"
"No evil ever befell them; if they tarried late in the wood and night overtook them, they lay down together on the moss and slept till morning, and their mother knew they were quite safe, and never felt anxious about them.","她们从来没有遇到过什么危险。如果她们在森林里停留太久，当夜幕降临后，她们便躺在苔藓上，依偎在一起，直到睡到第二天天亮。她们的母亲知道她们很安全，所以从来没有担忧过。"
"Once, when they had slept all night in the wood and had been wakened by the morning sun, they perceived a beautiful child in a shining white robe sitting close to their resting-place.","一次，她们在林里过了一夜，黎明的阳光唤醒了她们，这时她们发现在离她们休息地很近的地方，坐着一个穿着闪闪发光的白色长袍的美少年。"
"The figure got up, looked at them kindly, but said nothing, and vanished into the wood.","他站起身来，友好地看着她们，但却不发一言，随后消失在了林子里。"
"And when they looked round about them they became aware that they had slept quite close to a precipice, over which they would certainly have fallen had they gone on a few steps further in the darkness.","当她们回过神来看四周时，才意识到自己睡在了悬崖峭壁旁。如果她们在黑暗中再往前走上几步，就早已落进万丈深渊中。"
"And when they told their mother of their adventure, she said what they had seen must have been the angel that guards good children.","后来，当她们把这段奇遇告诉母亲时，母亲告诉她们，她们遇见的一定是个保护好孩子的天使。"
"Snow-white and Rose-red kept their mother’s cottage so beautifully clean and neat that it was a pleasure to go into it.","雪白与玫瑰红把母亲的小屋布置得整整洁洁，让人一进屋就身心愉悦。","","","","错别字，应为“布置得”-0.5"
"In summer Rose-red looked after the house, and every morning before her mother awoke she placed a bunch of flowers before the bed, from each tree a rose.","夏天的时候，玫瑰红会整理房屋，每天清早，乘母亲还未醒，她总要从每株玫瑰树上摘些花扎成一束，放在母亲的床头。"
"In winter Snow-white lit the fire and put on the kettle, which was made of brass, but so beautifully polished that it shone like gold.","冬天雪白会生上火，并在铁架上挂个水壶。铜制的壶儿总是擦得亮亮的，像金子般闪闪发光。"
"In the evening when the snowflakes fell their mother said: “Snow-white, go and close the shutters,” and they drew round the fire, while the mother put on her spectacles and read aloud from a big book and the two girls listened and sat and span.","到了晚上，每当天空飘起雪花，她们的母亲总会说：“雪白，去把门拴上。”于是娘儿仨围坐在火炉旁，母亲戴上眼镜，拿着本大书高声地朗读起来。姐妹俩一边听，一边坐着纺纱。"
"Beside them on the ground lay a little lamb, and behind them perched a little white dove with its head tucked under its wings.","就在她们的身旁躺着一头小羊羔，身后的杆子上蹲着只小白鸽，它的头藏在翅膀下。","","","","错别字，应为“身旁”-0.5"
"One evening as they sat thus cosily together someone knocked at the door as though he desired admittance.","一天晚上，当她们正舒舒服服地坐在一起时，听到有人在敲门，似乎想要进来。"
"The mother said: “Rose-red, open the door quickly; it must be some traveler seeking shelter.”","母亲说：“玫瑰红，快去把门开开，一定是位求宿的旅人。”"
"Rose-red hastened to unbar the door, and thought she saw a poor man standing in the darkness outside; but it was no such thing, only a bear, who poked his thick black head through the door.","玫瑰红赶忙拨开了门栓，心想自己会看到站在漆黑夜里的可怜人。但门外站着的却不是个人，而是头熊，它把那笨重的黑脑袋伸进了门。"
