"en","zh"
"The Lady Higher up","高高在上的女士"
"by O. Henry ","作者：欧·亨利"
"New York City, they said, was deserted; and that accounted, doubtless, for the sounds carrying so far in the tranquil summer air.","据说纽约市的居民都离开纽约去度假了，因此，毫无疑问，声音在夏天宁静的空气中传播得这么远。"
"The breeze was south-by-southwest; the hour was midnight; the theme was a bit of feminine gossip by wireless mythology.","微风拂动，风向南偏西南，时间正是午夜，主题是通过无线电神话的女性闲谈。"
"Three hundred and sixty-five feet above the heated asphalt the tiptoeing symbolic deity on Manhattan pointed her vacillating arrow straight, for the time, in the direction of her exalted sister on Liberty Island.","在离曼哈顿晒烫的柏油马路有365英尺高的地方，那位踮着脚的、有象征意义的女神，此时把她游移不定的弓箭对准她那在自由女神岛上高贵的姐妹。"
"The lights of the great Garden were out; the benches in the Square were filled with sleepers in postures so strange that beside them the writhing figures in Dore’s illustrations of the Inferno would have straightened into tailor’s dummies.","麦迪逊广场花园里的灯光都已熄灭，广场上的长凳睡满了人，他们的姿势千奇百怪，相比之下，多雷为《地狱篇》绘制的插图中那些扭曲的人像倒可以算是服装店里的模特了。"
"The statue of Diana on the tower of the Garden—its constancy shown by its weathercock ways, its innocence by the coating of gold that it has acquired, its devotion to style by its single, graceful flying scarf, its candour and artlessness by its habit of ever drawing the long bow, its metropolitanism by its posture of swift flight to catch a Harlem train—remained poised with its arrow pointed across the upper bay.","这花园塔楼上的狄安娜塑像，老是保持着把箭瞄向对面海湾的姿态——它那风信标似的模样表示其恒久不变，镀金的涂层表示其清纯无邪，那条独特的、飘逸优美的围巾表示其热衷展现个性的风格，始终张开长弓的习惯表示其率直和天真，飞奔去赶哈莱姆区火车的姿态表示其大都会生活的场景。"
"Had that arrow sped truly and horizontally it would have passed fifty feet above the head of the heroic matron whose duty it is to offer a cast-ironical welcome to the oppressed of other lands.","假如弦上的箭径直射出，很可能在那位青铜打造的英勇女士头顶50英尺上方掠过，她的职责就是向来自世界各地受到压迫的人表示欢迎。"
"Seaward this lady gazed, and the furrows between steamship lines began to cut steerage rates.","这位女士凝望着海洋，互相竞争的轮船公司的船只纷纷留下航迹，开始削减票价。"
"The translators, too, have put an extra burden upon her.","翻译人员也为她增加了额外负担。"
"“Liberty Lighting the World” (as her creator christened her) would have had a no more responsible duty, except for the size of it, than that of an electrician or a Standard Oil magnate.","“照耀世界的自由”（自由女神像的制造者如是称呼她）尽管体积庞大，但职责也就跟电工或者标准石油大王差不多。"
"But to “enlighten” the world (as our learned civic guardians “Englished” it) requires abler qualities.","然而，“照耀”世界还需要更能干的品质（正如我们有学问的城市监护人用英语称呼她时所期望的那样）。"
