"en","zh"
"The Mermaid and the Boy","美人鱼与男孩"
"by Andrew Lang","作者：安德鲁·朗格"
"Long, long ago, there lived a king who ruled over a country by the sea.","很久很久以前，一位国王统治着一个海边的国家。"
"When he had been married about a year, some of his subjects, inhabiting a distant group of islands, revolted against his laws, and it became needful for him to leave his wife and go in person to settle their disputes.","国王结婚一年左右，生活在远处群岛的一些臣民发生叛乱，反对他的统治，因此他需要离开妻子，亲自去解决他们的纷争。"
"The queen feared that some ill would come of it, and implored him to stay at home, but he told her that nobody could do his work for him, and the next morning the sails were spread, and the king started on his voyage.","王后担心会出事，恳求国王留在家里，但是国王告诉她，只有他能解决问题。于是第二天早上，国王升起了帆，踏上了航程。"
"The vessel had not gone very far when she ran upon a rock, and stuck so fast in a cleft that the strength of the whole crew could not get her off again.","大船驶出没多远就撞上礁石，船身很快被卡在礁石上，进退两难，船员们竭尽全力也没法再让船从礁石上下来。"
"To make matters worse, the wind was rising too, and it was quite plain that in a few hours the ship would be dashed to pieces and everybody would be drowned, when suddenly the form of a mermaid was seen dancing on the waves which threatened every moment to overwhelm them.","更糟的是，当时还起风了，可以肯定，几小时内，大船就会被撞碎，所有人都会被淹死。这时，他们突然看见一只美人鱼在浪头上跳舞，那些浪头随时能吞掉他们。"
"‘There is only one way to free yourselves,’ she said to the king, bobbing up and down in the water as she spoke, ‘and that is to give me your solemn word that you will deliver to me the first child that is born to you.’","“你们要想活命的话，就只有一个办法，”美人鱼一边在水里上下浮动，一边对国王说，“你得发誓会把自己生的第一个孩子给我，我就会救你。”"
"The king hesitated at this proposal.","国王对这个提议犹豫了。"
"He hoped that some day he might have children in his home, and the thought that he must yield up the heir to his crown was very bitter to him; but just then a huge wave broke with great force on the ship’s side, and his men fell on their knees and entreated him to save them.","他希望有朝一日，家里能有孩子，但是得交出自己的继承人才能保住性命，这让他很苦恼；可就在这时，一个巨浪猛地击在船的一侧，随从们纷纷跪下来求他救救他们。"
"So he promised, and this time a wave lifted the vessel clean off the rocks, and she was in the open sea once more.","于是他发了誓，这时，一个浪托起大船，使船离开了礁石，再次回到宽阔的海面上。"
"The affairs of the islands took longer to settle than the king had expected, and some months passed away before he returned to his palace.","平定岛上事务所花的时间比国王预计的要长，数月之后，他才回到自己的宫殿。"
"In his absence a son had been born to him, and so great was his joy that he quite forgot the mermaid and the price he had paid for the safety of his ship.","在离开的日子里，他的儿子出生了，国王非常高兴，以至于完全忘了美人鱼，忘了大船的安全是牺牲王子换来的。"
"But as the years went on, and the baby grew into a fine big boy, the remembrance of it came back, and one day he told the queen the whole story.","可是，随着时光流逝，婴儿长成一个优秀的男孩，国王也记起了那件事，一天，他把整件事告诉了王后。"
"From that moment the happiness of both their lives was ruined.","从那时起，他们就不再快乐。"
"Every night they went to bed wondering if they should find his room empty in the morning, and every day they kept him by their sides, expecting him to be snatched away before their very eyes.","每晚他们睡觉时，都会担心早上起床后孩子的房间是空的。他们日日把孩子带在身边，认为他会在眼前被抢走。"
"At last the king felt that this state of things could not continue, and he said to his wife:","最后，国王觉得不能再这样下去，于是他对妻子说："
"‘After all, the most foolish thing in the world one can do is to keep the boy here in exactly the place in which the mermaid will seek him.","“毕竟，世上最蠢的举动，就是把孩子留在这个地方，因为美人鱼知道能在这里找到他。"
"Let us give him food and send him on his travels, and perhaps, if the mermaid ever blocs come to seek him, she may be content with some other child.’","我们给他吃的，送他出游，也许，如果美人鱼来找他，她会看中其他的孩子。”"
" And the queen agreed that his plan seemed the wisest.","这个计划看起来英明无比，王后同意了。"
"So the boy was called, and his father told him the story of the voyage, as he had told his mother before him.","他们把孩子叫来，国王把之前给王后说的远航的故事讲给他听。"
"The prince listened eagerly, and was delighted to think that he was to go away all by himself to see the world, and was not in the least frightened; for though he was now sixteen, he had scarcely been allowed to walk alone beyond the palace gardens.","王子迫切地听着，一想到能独自出去见见世面就高兴了起来。他一点儿也不害怕，因为尽管他已经十六岁了，却鲜有机会走出皇家花园，独自散步。"
"He began busily to make his preparations, and took off his smart velvet coat, putting on instead one of green cloth, while he refused a beautiful bag which the queen offered him to hold his food, and slung a leather knapsack over his shoulders instead, just as he had seen other travellers do.","他急忙作些准备，脱掉自己的丝绒外套，换上一件绿色衣服，没要王后给他的装食物的漂亮袋子，却在肩上扛了一个老式的皮背包，和他见过的其他游客打扮得一样。"
"Then he bade farewell to his parents and went his way.","然后他与父母告别，踏上旅途。"
"All through the day he walked, watching with interest the strange birds and animals that darted across his path in the forest or peeped at him from behind a bush.","他走了一整天，津津有味地欣赏奇异的鸟儿和其他动物，有的横冲过男孩走的小路，有的在一株灌木后面冲他唧唧叫。"
"But as evening drew on he became tired, and looked about as he walked for some place where he could sleep.","但是，当夜晚降临时，他觉得很累，于是他边走边寻找可以睡觉的地方。"
