"en","zh"
"The Sleuths","侦探"
"by O. Henry","作者：欧·亨利"
"In the Big City a man will disappear with the suddenness and completeness of the flame of a candle that is blown out.","在纽约，一个人会在突然之间完全消失，就像被吹灭的蜡烛火苗似的。"
"All the agencies of inquisition—the hounds of the trail, the sleuths of the city’s labyrinths, the closet detectives of theory and induction—will be invoked to the search.","所有的调查力量——寻踪嗅迹的警犬、城市迷宫里的侦探，和纸上谈兵、富于推理、专门调查丑闻的私人侦探——都将参与搜查。"
"Most often the man’s face will be seen no more.","通常情况下，失踪的人就永远地消失了。"
"Sometimes he will reappear in Sheboygan or in the wilds of Terre Haute, calling himself one of the synonyms of “Smith,” and without memory of events up to a certain time, including his grocer’s bill.","有时候，他会出现在希博伊根或是特雷霍特的荒郊野外，自称“史密斯”或诸如此类的姓名，而且对某段时间的事情已经记忆全无，包括他杂货店的账单。"
"Sometimes it will be found, after dragging the rivers, and polling the restaurants to see if he may be waiting for a well-done sirloin, that he has moved next door.","有时候，在抽干了河水，排查了餐厅看他是不是在等一份全熟的牛脊肉后，却发现他只是搬到了隔壁的房子而已。"
"This snuffing out of a human being like the erasure of a chalk man from a blackboard is one of the most impressive themes in dramaturgy.","一个大活人突然消失，就像从黑板上擦掉粉笔画似的，这是令人印象深刻的戏剧题材之一。"
"The case of Mary Snyder, in point, should not be without interest.","有关玛丽·斯奈德的个案，肯定能引起读者的兴趣。"
"A man of middle age, of the name of Meeks, came from the West to New York to find his sister, Mrs. Mary Snyder, a widow, aged fifty-two, who had been living for a year in a tenement house in a crowded neighbourhood.","一个名为米克斯的中年男子，为了寻找姐姐玛丽·斯奈德太太，从西部来到纽约。斯奈德太太是个寡妇，52岁，曾在一个拥挤的街区出租公寓里住过一年。"
"At her address he was told that Mary Snyder had moved away longer than a month before.","米克斯在玛丽·斯奈德的住处得知，她一个多月前就已经搬走了。"
"No one could tell him her new address.","没人知道她现在住哪里。"
"On coming out Mr. Meeks addressed a policeman who was standing on the corner, and explained his dilemma.","从公寓出来，米克斯向一个站在街角的警察打听，对他说明了难处。"
"“My sister is very poor,” he said, “and I am anxious to find her.","“我姐姐很穷，”他说，“我急着找到她。"
"I have recently made quite a lot of money in a lead mine, and I want her to share my prosperity.","最近我在一个铅矿挣了一大笔钱，我想让她跟我过点儿好日子。"
"There is no use in advertising her, because she cannot read.”","在报上登寻人启事没有用，因为她不识字。”"
"The policeman pulled his moustache and looked so thoughtful and mighty that Meeks could almost feel the joyful tears of his sister Mary dropping upon his bright blue tie.","警察捋了捋他的小胡子，看上去思考得很缜密，胸有成竹，米克斯几乎觉得他姐姐欣喜的泪水已经滴落到他宝蓝色的领带上了。"
"“You go down in the Canal Street neighbourhood,” said the policeman, “and get a job drivin’ the biggest dray you can find.","“你去运河街一带，”警察说道，“找个赶大车的活。"
"There’s old women always gettin’ knocked over by drays down there.","那里总有老太太被大货车撞倒。"
"You might see ’er among ’em.","没准儿你能在她们中间找到你姐姐。"
"If you don’t want to do that you better go ’round to headquarters and get ’em to put a fly cop onto the dame.”","如果你不想那么做的话，那就最好去总局，请他们找个便衣警察来帮你找这位太太。”"
"At police headquarters, Meeks received ready assistance.","在警察局总局，米克斯受到了热情的接待。"
"A general alarm was sent out, and copies of a photograph of Mary Snyder that her brother had were distributed among the stations.","他们发布了全面通告，还把米克斯带来的玛丽·斯奈德的照片复印后分发到了各个派出所。"
"In Mulberry Street the chief assigned Detective Mullins to the case.","在桑树街派出所，所长安排马林斯侦探负责这个案子。"
"The detective took Meeks aside and said:","侦探把米克斯拉到一边，说道："
"“This is not a very difficult case to unravel.","“这个案子不难解决。"
"Shave off your whiskers, fill your pockets with good cigars, and meet me in the café of the Waldorf at three o’clock this afternoon.”","剃掉你的胡须，在兜里装满上好的雪茄，今天下午3点到沃尔多夫饭店的咖啡厅来见我。”"
"Meeks obeyed.","米克斯照做了。"
"He found Mullins there.","他在那里和马林斯碰了面。"
"They had a bottle of wine, while the detective asked questions concerning the missing woman.","他们要了瓶酒，期间侦探询问了些有关那位失踪女人的情况。"
"“Now,” said Mullins, “New York is a big city, but we’ve got the detective business systematized.","“哎，”马林斯说道，“纽约是个大城市，不过我们侦探行业已经系统化了。"
"There are two ways we can go about finding your sister.","有两种办法可以找到你姐姐。"
"We will try one of ’em first.","我们先试一种吧。"
"You say she’s fifty-two?”","你说她52岁？”"
"“A little past,” said Meeks.","“稍微大一点儿。”米克斯说。"
"The detective conducted the Westerner to a branch advertising office of one of the largest dailies.","侦探把这个西部人带到全市最大的报社之一的广告部分部办公室。"
"There he wrote the following “ad” and submitted it to Meeks:","在这里，他写了下面的这则广告，并交给米克斯过目。"
"“Wanted, at once—one hundred attractive chorus girls for a new musical comedy.","“急聘——新排音乐喜剧，需招百名美丽动人的歌舞女演员。"
"Apply all day at No. —Broadway.”","全天报名。于百老汇大街××号。”"
"Meeks was indignant.","米克斯怒不可遏。"
"“My sister,” said he, “is a poor, hard-working, elderly woman.","“我的姐姐，”他说，“是个上了年纪的、贫穷的、勤劳的女人。"
"I do not see what aid an advertisement of this kind would be toward finding her.”","我看不出这么一则广告对找到她能帮上什么忙。”"
"“All right,” said the detective.","“好吧，”侦探说道，"
"“I guess you don’t know New York.","“我想你还不了解纽约。"
"But if you’ve got a grouch against this scheme we’ll try the other one.","但是如果你对这个方案不满意的话，我们可以试试另一个。"
"It’s a sure thing.","肯定能解决问题。"
"But it’ll cost you more.”","但是你要多花一点儿钱。”"
"“Never mind the expense,” said Meeks; “we’ll try it.”","“不用担心费用，”米克斯说，“我们试试吧。”"
"The sleuth led him back to the Waldorf.","侦探把他带回到沃尔多夫饭店。"
"“Engage a couple of bedrooms and a parlour,” he advised, “and let’s go up.”","“开一个有两间卧室和一个客厅的套房，”他建议说，“我们上去。”"
"This was done, and the two were shown to a superb suite on the fourth floor.","开了房间后，两人被引到四楼的一个豪华套房。"
"Meeks looked puzzled.","米克斯感到莫名其妙。"
"The detective sank into a velvet armchair, and pulled out his cigar case.","侦探一屁股坐到天鹅绒的扶手椅上，取出雪茄烟盒。"
