"en","zh"
"A Ghost Story","鬼故事"
"by Mark Twain","作者：马克·吐温 "
"I took a large room, far up Broadway, in a huge old building whose upper stories had been wholly unoccupied for years until I came.","我在远离百老汇的一处破旧的大楼里租了一间大屋。在我来之前，这栋房子上面的几层楼已经有很多年没有人住了。"
"The place had long been given up to dust and cobwebs, to solitude and silence.","这个地方已被废弃很久了，到处是灰尘和蜘蛛网，静寂又冷清。"
"I seemed groping among the tombs and invading the privacy of the dead, that first night I climbed up to my quarters.","第一天晚上，我爬上楼进入我的住所，我似乎是在坟墓丛中摸索着，侵犯着墓中人的隐私。"
"For the first time in my life a superstitious dread came over me; and as I turned a dark angle of the stairway and an invisible cobweb swung its lazy woof in my face and clung there, I shuddered as one who had encountered a phantom.","我经历了人生当中第一件光怪陆离且毛骨悚然的遭遇。当我在楼道的一个暗角处拐弯时，我的脸撞上一张看不见的蜘蛛网，它那邋遢的蛛丝晃到我的脸上并且黏在那里。我打了个冷战，像是碰到鬼了似的。"
"I was glad enough when I reached my room and locked out the mold and the darkness.","当我终于到了我的房间，将那些霉菌和黑暗都锁在门外时，我心里高兴极了。"
"A cheery fire was burning in the grate, and I sat down before it with a comforting sense of relief.","炉火烧得正旺；我在壁炉前面坐下，感到如释重负。"
"For two hours I sat there, thinking of bygone times; recalling old scenes, and summoning half-forgotten faces out of the mists of the past; listening, in fancy, to voices that long ago grew silent for all time, and to once familiar songs that nobody sings now.","我在那里坐了两个小时，回想着过去的时光，回忆着曾经的情景，回想着模糊的记忆中那些几乎被忘却的面容。遐想中，我仿佛听见了沉寂良久的声音，听见了那支曾经为人熟知、如今却无人再吟唱的歌曲。"
"And as my reverie softened down to a sadder and sadder pathos, the shrieking of the winds outside softened to a wail, the angry beating of the rain against the panes diminished to a tranquil patter, and one by one the noises in the street subsided, until the hurrying footsteps of the last belated straggler died away in the distance and left no sound behind.","我的冥想变成了一股淡淡的哀愁，窗外风的呼啸变成了哀鸣，玻璃上雨点的猛击也变成了轻敲。街上的嘈杂声陆续消失了，随着最后一个晚归的游荡者急促的脚步声渐行渐远，街上就没有什么声音了。"
"The fire had burned low.","炉子里的火也快要熄了。"
"A sense of loneliness crept over me.","一阵孤独感悄悄涌上我的心头。"
"I arose and undressed, moving on tiptoe about the room, doing stealthily what I had to do, as if I were environed by sleeping enemies whose slumbers it would be fatal to break.","我站起身来脱衣服，蹑手蹑脚地在房间里走动，轻手轻脚地做我要做的事，仿佛我身边都是睡着的敌人，吵醒他们就会很危险。"
