"zh","en"
"强者的力量","The Strength of the Strong"
"强者的力量","The Strength of the Strong "
"作者：杰克·伦敦","by Jack London"
"“寓言不会骗人，但是骗子会说寓言。”——利普金","“Parables don’t lie, but liars will parable.”—Lip-King."
"长胡子老头说着暂停了一下，舔了舔他油腻的手指头，然后用手指在他那张破熊皮没能遮住的侧身上抹了抹。在他周围蹲着三个年轻人，都是他的孙子，分别叫鹿跑儿、黄头儿和怕黑儿。他们长得几乎一模一样。他们都披着野兽皮，兽皮遮住了身体的一部分。他们都骨瘦如柴，臀部很窄，腿部弯弯曲曲的，但他们胸脯很厚，胳膊很强壮，手也很大。他们的胸脯、肩膀以及胳膊和腿部的外侧上都长着很多毛。他们的长头发未经修剪，经常一绺一绺地在眼前飘荡着。那又亮又黑的小眼睛就像鸟眼睛一样闪闪发光。他们的脸部轮廓是两眼之间窄，两颊之间宽，下巴很厚，还向外突出着。","Old Long-Beard paused in his narrative, licked his greasy fingers, and wiped them on his naked sides where his one piece of ragged bearskin failed to cover him.Crouched around him, on their hams, were three young men, his grandsons, Deer-Runner, Yellow-Head, and Afraid-of-the-Dark.In appearance they were much the same.Skins of wild animals partly covered them.They were lean and meagre of build, narrow-hipped and crooked-legged, and at the same time deep-chested, with heavy arms and enormous hands.There was much hair on their chests and shoulders, and on the outsides of their arms and legs.Their heads were matted with uncut hair, long locks of which often strayed before their eyes, beady and black and glittering like the eyes of birds.They were narrow between the eyes and broad between the cheeks, while their lower jaws were projecting and massive."
"这是一个星光熠熠的夜晚。在他们的下面是连绵的群山，树林茂密，一直绵延到远处。远方，天空被火山的光亮映得通红。在他们背后，一个山洞张着黑色大口，不时地向外吹出阵阵穿堂风。在他们面前，一堆篝火熊熊燃烧着。篝火的一边，躺着一头吃剩的死熊。在距篝火颇远的地方，还有几条大狗，毛发蓬松杂乱，像狼一样。每个人身边都放着自己的弓箭和一根大棍子。还有许多简陋的长矛靠在洞口的岩石上。","It was a night of clear starlight, and below them, stretching away remotely, lay range on range of forest-covered hills.In the distance the heavens were red from the glow of a volcano.At their backs yawned the black mouth of a cave, out of which, from time to time, blew draughty gusts of wind.Immediately in front of them blazed a fire.At one side, partly devoured, lay the carcass of a bear, with about it, at a respectable distance, several large dogs, shaggy and wolf-like.Beside each man lay his bow and arrows and a huge club.In the cave-mouth a number of rude spears leaned against the rock."
"“我们就是这样从洞里搬到树上的。”长胡子老头大声地说着。","“So that was how we moved from the cave to the tree,” old Long-Beard spoke up."
"他们都放声大笑起来，像大孩子一样。这句话让他们想起了他以前讲过的一个故事。长胡子老头也笑了，笑得他那从鼻子软骨中间横穿过的5英寸长的骨簪都一跳一跳的，让他的样子变得更加凶狠了。他所说的和记载的并不完全相同，但是他发出的动物般的声音表达了同样的意思。","They laughed boisterously, like big children, at recollection of a previous story his words called up.Long-Beard laughed, too, the five-inch bodkin of bone, thrust midway through the cartilage of his nose, leaping and dancing and adding to his ferocious appearance.He did not exactly say the words recorded, but he made animal-like sounds with his mouth that meant the same thing."
"“这就是我所记住的第一件关于海谷的事。”长胡子继续说道，“那时我们这群人非常愚蠢。我们不懂得力量的奥秘。因为，你瞧，每个家庭都独立生活，自己照顾自己。我们这里有三十户家庭，但是我们从不互相帮衬。我们总是互相防范。我们也从不往来。我们各自在树梢上盖一间草屋，并且在屋外的平台上堆很多石头，这样，若偶尔有人想来造访，我们就用石头砸他们。并且，我们还有长矛和箭。我们也从来不在其他人家的树下走动。有一次，我哥哥从老布乌的树下经过，结果头被砸破，送了命。","“And that is the first I remember of the Sea Valley,” Long-Beard went on.“We were a very foolish crowd.We did not know the secret of strength.For, behold, each family lived by itself, and took care of itself.There were thirty families, but we got no strength from one another.We were in fear of each other all the time.No one ever paid visits.In the top of our tree we built a grass house, and on the platform outside was a pile of rocks, which were for the heads of any that might chance to try to visit us.Also, we had our spears and arrows.We never walked under the trees of the other families, either.My brother did, once, under old Boo-oogh’s tree, and he got his head broken and that was the end of him."
"“老布乌非常强壮。据说他可以一下子把一个成年人的脑袋给拧下来。我从来没听说他这样做过，因为没有人愿意给他机会。我父亲也不会。有一天，我父亲去海滩的时候，布乌来追赶我的母亲。她跑不快，因为前一天她上山采浆果的时候被熊抓伤了腿。结果布乌就抓住了她，把她带到自己的树上。父亲再也没把她要回来。因为他害怕。老布乌还朝他扮鬼脸。","“Old Boo-oogh was very strong.It was said he could pull a grown man’s head right off.I never heard of him doing it, because no man would give him a chance.Father wouldn’t.One day, when father was down on the beach, Boo-oogh took after mother.She couldn’t run fast, for the day before she had got her leg clawed by a bear when she was up on the mountain gathering berries.So Boo-oogh caught her and carried her up into his tree.Father never got her back.He was afraid.Old Boo-oogh made faces at him."
