"zh","en"
"白丝袜","The White Stocking"
"第一章","CHAPTER 1"
"“我起床了，泰迪林克斯。”惠斯顿太太说着便迅速地从床上一跃而起。","“I’m getting up, Teddilinks,” said Mrs Whiston, and she sprang out of bed briskly."
"“汉诺威市把你怎么着了？”惠斯顿问道。","“What the Hanover’s got you?” asked Whiston."
"“没什么啊。难道我就不能起床吗？”她机灵地答道。","“Nothing.Can’t I get up?” she replied animatedly."
"早晨七点左右，冰冷的房间里依稀有些光线。惠斯顿静静地躺着，看着妻子。她是个漂亮的小美人，一头柔软乌黑的短发乱作一团……他注视着她，而她迅速地穿上衣服，扭动娇小美丽的身躯，把衣服胡乱地裹在身上。她的懒散和不修边幅并没有使他烦心。她拿起衬裙裙边，扯下一条坏了的白色花边，将它扔到梳妆台上。她不经意的举动使他十分高兴。她站在镜子前，将浓密的短发稍微梳理了一番。他以丈夫的神情静静地欣赏着她轻快而温柔地抖动着柔嫩的肩膀。","It was about seven o’clock, scarcely light yet in the cold bedroom.Whiston lay still and looked at his wife.She was a pretty little thing, with her fleecy, short black hair all tousled…He watched her as she dressed quickly, flicking her small, delightful limbs, throwing her clothes about her.Her slovenliness and untidiness did not trouble him.When she picked up the edge of her petticoat, ripped off a torn string of white lace, and flung it on the dressing-table, her careless abandon made his spirit glow.She stood before the mirror and roughly scrambled together her profuse little mane of hair.He watched the quickness and softness of her young shoulders, calmly, like a husband, and appreciatively."
"“起床了，”她朝他快速地挥了挥胳膊，嚷道，“打起精神来。”","“Rise up,” she cried, turning to him with a quick wave of her arm—“and shine forth.”"
"他们已经结婚两年了。但是，每当她从房间出去的时候，他仍然会感觉到所有的光和热仿佛都消失了，并会发现清晨的严寒和冰冷。就这样，他起床了，随意地想着是什么让她起那么早。通常她都是在床上能赖多久就赖多久。","They had been married two years.But still, when she had gone out of the room, he felt as if all his light and warmth were taken away, he became aware of the raw, cold morning.So he rose himself, wondering casually what had roused her so early.Usually she lay in bed as late as she could."
"惠斯顿穿上衬衫和裤子，在腰上系紧一条腰带后下了楼。他听到她在断断续续地唱歌。楼梯在他的重压下嘎吱作响。他穿过被她称为门厅的狭小过道。这座廉价的房子是他的第一个家。","Whiston fastened a belt round his loins and went downstairs in shirt and trousers.He heard her singing in her snatchy fashion.The stairs creaked under his weight.He passed down the narrow little passage, which she called a hall, of the seven and sixpenny house which was his first home."
"他大约二十八岁，是个身材匀称的年轻人。他现在有些困意，显得温和安宁。他听见水滴不断掉进壶里，她开始吹起了口哨。她在水龙头下冲洗晚餐用过的杯子好为早餐做准备。他就喜欢她那麻利的样子。她看上去像一个衣冠不整的轻佻女子，但却敏捷手巧。","He was a shapely young fellow of about twenty-eight, sleepy now and easy with well-being.He heard the water drumming into the kettle, and she began to whistle.He loved the quick way she dodged the supper cups under the tap to wash them for breakfast.She looked an untidy minx, but she was quick and handy enough."
"“泰迪林克斯。”她喊道。","“Teddilinks,” she cried."
"“怎么了？”","“What?”"
"“生火，快。”","“Light a fire, quick.”"
"她穿着一件旧的、胸前别着黑色丝绸的宽大晨衣。但是有一只袖子开线了，露出了她令人心动的粉嫩的上臂。","She wore an old, sack-like dressing-jacket of black silk pinned across her breast.But one of the sleeves, coming unfastened, showed some delightful pink upper-arm."
"“你为什么不把袖子缝上？”他问道，不想看到她柔嫩的肌肤暴露在外。","“Why don’t you sew your sleeve up?” he said, suffering from the sight of the exposed soft flesh."
"“哪里？”她仔细地到处看着问道。","“Where?” she cried, peering round."
"“讨厌。”她看见了裂缝后说道，接着继续轻巧地把杯子擦干净。","“Nuisance,” she said, seeing the gap, then with light fingers went on drying the cups."
"厨房不算小，但是很阴暗。惠斯顿扒出烧尽的灰。","The kitchen was of fair size, but gloomy.Whiston poked out the dead ashes."
"突然，楼下的走廊传来了砰砰的敲门声。","Suddenly a thud was heard at the door down the passage."
"“我去开。”惠斯顿太太喊着来到了楼下厅里。","“I’ll go,” cried Mrs Whiston, and she was gone down the hall."
"邮递员是个脸色红润的伙计，曾经当过兵。他边咧着嘴笑，边给她递过来几个包裹。","The postman was a ruddy-faced man who had been a soldier.He smiled broadly, handing her some packages."
"“他们并没有忘记你。”他冒失地说道。","“They’ve not forgot you,” he said impudently."
"“是没有忘记——他们会走运的。”她猛抬起头，说道。但是她只对今天早晨收到的信件感兴趣。邮递员露出讨好的微笑，好奇地等着。她慢慢地、心不在焉地当着他的面把门关上了，好像不知道门外有人似的，然后继续看着信上的地址。","“No—lucky for them,” she said, with a toss of the head.But she was interested only in her envelopes this morning.The postman waited inquisitively, smiling in an ingratiating fashion.She slowly, abstractedly, as if she did not know anyone was there, closed the door in his face, continuing to look at the addresses on her letters."
"她撕开薄薄的信封。厅里有一张长长的，难看的卡通情人卡。她略微一笑，把卡片丢到了地板上。她用力扯开包装绳，打开了一个白色的纸板箱，里面一只白色的丝绸手帕整齐地叠放在盒子纸质花边的底下。她名字首字母的淡紫色图案全部呈现出来了。她开心地笑了，轻轻地把盒子放到了一边。第三个信封里还有一个白色包裹——里面显然是一只叠放整齐的棉手帕。她把它抖了出来。原来那是一只白色的长丝袜，但脚趾处有什么东西。她快速地把胳膊伸进去，扭动着手指探向丝袜的脚趾处，取出一个小盒子。她往盒子里瞥了一眼，然后匆忙打开左手边的门，走进狭小阴冷的起居室。她使劲咬住下嘴唇。","She tore open the thin envelope.There was a long, hideous, cartoon valentine.She smiled briefly and dropped it on the floor.Struggling with the string of a packet, she opened a white cardboard box, and there lay a white silk handkerchief packed neatly under the paper lace of the box, and her initial, worked in heliotrope, fully displayed.She smiled pleasantly, and gently put the box aside.The third envelope contained another white packet—apparently a cotton handkerchief neatly folded.She shook it out.It was a long white stocking, but there was a little weight in the toe.Quickly, she thrust down her arm, wriggling her fingers into the toe of the stocking, and brought out a small box.She peeped inside the box, then hastily opened a door on her left hand, and went into the little, cold sitting-room.She had her lower lip caught earnestly between her teeth."
"带着瞬间的狂喜，她从小盒子里拿出了一对珍珠耳环，然后走到镜子跟前。在镜前，她开始认真地把耳环穿在耳朵上，照着镜中自己的侧面。她的头侧弯着，伸手摸着自己的耳垂，显得极为专注。","With a little flash of triumph, she lifted a pair of pearl ear-rings from the small box, and she went to the mirror.There, earnestly, she began to hook them through her ears, looking at herself sideways in the glass.Curiously concentrated and intent she seemed as she fingered the lobes of her ears, her head bent on one side."
"那对珍珠耳环正在她那小小的红润的双耳下悬挂着。她用力地摇了摇头，想看看耳环摇晃的样子。耳环轻快地碰在她的脖颈上，使她感到一阵凉意。然后她站在原地看着自己，高贵地昂着头。然后她看着自己的样子傻笑了。看着自己镜子里的目光，她禁不住朝自己眨了眨眼，笑了起来。","Then the pearl ear-rings dangled under her rosy, small ears.She shook her head sharply, to see the swing of the drops.They went chill against her neck, in little, sharp touches.Then she stood still to look at herself, bridling her head in the dignified fashion.Then she simpered at herself.Catching her own eye, she could not help winking at herself and laughing."
"她转过身去看那个盒子。盒子里有一张碎纸片，上面是这么写的：","She turned to look at the box.There was a scrap of paper with this posy:"
"“珍珠也许美丽，但你却更美丽。","“Pearls may be fair, but thou art fairer."
"为我戴上它们吧，我会爱上那位佩戴者。”","Wear these for me, and I’ll love the wearer.”"
"她做了个鬼脸，咧嘴笑了起来。但她还是忍不住回到镜子跟前看那对耳环。","She made a grimace and a grin.But she was drawn to the mirror again, to look at her ear-rings."
"惠斯顿已经把火生了起来，便过来找她。她听到他来了，迅速转过身，面露愧疚之色。他出现时，她用那蓝色的眼睛热切地看着他。","Whiston had made the fire burn, so he came to look for her.When she heard him, she started round quickly, guiltily.She was watching him with intent blue eyes when he appeared."
"他处在早晨昏昏欲睡的暖和的感觉之中，并没看见什么。如往常一样，他给她一种暖洋洋和慢腾腾的感觉。他的眼睛很蓝，很和善，态度很坦率。","He did not see much, in his morning-drowsy warmth.He gave her, as ever, a feeling of warmth and slowness.His eyes were very blue, very kind, his manner simple."
"“你收到了什么？”他问道。","“What ha’ you got?” he asked."
"“情人节的礼物。”她轻快地答道，转过头去向他炫耀地展示那块丝绸手帕。她把手帕凑近他的鼻子底下。“闻起来挺好的吧。”她说道。","“Valentines,” she said briskly, ostentatiously turning to show him the silk handkerchief.She thrust it under his nose.“Smell how good,” she said."
"“谁送的？”他问道，并没有闻。","“Who’s that from?” he replied, without smelling."
"“不过是情人节的礼物而已，”她说，“我怎么知道是谁送的？”","“It’s a valentine,” she cried.“How da I know who it’s from?”"
"“我打赌你准知道。”他说。","“I’ll bet you know,” he said."
"“泰德！——我不知道！”她开始摇着头喊道，但因为耳环而停了下来。","“Ted!—I don’t!” she cried, beginning to shake her head, then stopping because of the ear-rings."
"他在原地站了一会儿，不高兴起来。","He stood still a moment, displeased."
"“现在，他们已经无权送你情人节礼物了。”他说。","“They’ve no right to send you valentines, now,” he said."
"“泰德！——为什么没有？”你不是在嫉妒吧，对不对？我真一点都不知道这是谁送给我的。“看——有我名字的首字母”——为了表示强调，她的手指向淡紫色的刺绣——","“Ted!—Why not?You’re not jealous, are you?I haven’t the least idea who it’s from.""Look—there’s my initial”—she pointed with an emphatic finger at the heliotrope embroidery—"
"“Ｅ代表埃尔西。”她歌唱似的说道。","“E for Elsie, nice little gelsie.” she sang."
"“别扯了，”他说道，“你知道这是谁给的。”","“Get out,” he said.“You know who it’s from.”"
"“真的，我不知道。”她反驳道。","“Truth, I don’t,” she cried."
"他看了看四周，发现了那只放在椅子上的白丝袜。","He looked round, and saw the white stocking lying on a chair."
"“这也是情人节的礼物？”他问道。","“Is this another?” he said."
"“不，那是个样品，”她答道，“就只有张卡通贺卡。”然后她便拿来了那张长长的卡通贺卡。","“No, that’s a sample,” she said.“There’s only a comic.”And she fetched in the long cartoon."
"他打开贺卡，表情严肃地看了看它。","He stretched it out and looked at it solemnly."
"“傻瓜！”他说着就走出了房间。","“Fools!” he said, and went out of the room."
"她飞快地跑到楼上，把耳环摘了下来。","She flew upstairs and took off the ear-rings."
"当她回来的时候，他正蹲在火前给煤吹风。他面色发红，脸上略微显出些疤痕，好像曾经患过天花似的。但是他的脖子却白净光滑，很好看。他蹲在那里，她用双臂搂住他的脖子，紧紧地抱住他。他踮起脚尖来保持平衡。","When she returned, he was crouched before the fire blowing the coals.The skin of his face was flushed, and slightly pitted, as if he had had small-pox.But his neck was white and smooth and goodly.She hung her arms round his neck as he crouched there, and clung to him.He balanced on his toes."
"“这堆火也是慢性子。”他说道。","“This fire’s a slow-coach,” he said."
"“那还有谁是慢性子的呢？”她问道。","“And who else is a slow-coach?” she said."
"“咱们中间的一个啊，我觉得。”他小心地站起来，说道。她仍然紧紧地抱住他的脖子，脚悬在了半空中。","“One of us two, I know,” he said, and he rose carefully.She remained clinging round his neck, so that she was lifted off her feet."
"“哈！——带着我转几圈。”她喊道。","“Ha!—swing me,” she cried."
"他低下头，她双脚悬空，挂在他脖子上摇晃，大笑着。然后她滑了下来。","He lowered his head, and she hung in the air, swinging from his neck, laughing.Then she slipped off."
