"zh","en"
"骑木马的优胜者","The Rocking-Horse Winner"
"骑木马的优胜者","The Rocking-Horse Winner"
"作者：D. H. 劳伦斯","by D. H. Lawrence"
"有这么一个漂亮女人，上帝赋予了她一切优越的条件，然而她却不怎么走运。她为爱而结婚，而最终这爱情却只是一场空。她有几个美丽健康的孩子，然而她却觉得那是强加给她的，她并不能去爱他们。他们看她的时候冷冷淡淡，似乎在挑她的不是。她总是急着想去掩饰自己的一些缺点。要掩盖些什么，她却从不知晓。然而，当孩子们在场时，她总是感到内心深处正变得冷酷无情。这使她很烦恼，在行为举止上她便更加温柔和气，愈发地为孩子们担心，就好像她非常爱他们一样。只有她自己知道，在她的内心深处，有一块小小的坚硬的地方感受不到爱，不，感受不到对任何人的爱。别人总是这么说她：“她是这样一位好母亲。她深爱她的孩子们。”只有她和孩子们清楚，事实绝非如此。他们可以从对方的眼睛里看到这一点。","There was a woman who was beautiful, who started with all the advantages, yet she had no luck.She married for love, and the love turned to dust.She had bonny children, yet she felt they had been thrust upon her, and she could not love them.They looked at her coldly, as if they were finding fault with her.And hurriedly she felt she must cover up some fault in herself.Yet what it was that she must cover up she never knew.Nevertheless, when her children were present, she always felt the centre of her heart go hard.This troubled her, and in her manner she was all the more gentle and anxious for her children, as if she loved them very much.Only she herself knew that at the centre of her heart was a hard little place that could not feel love, no, not for anybody.Everybody else said of her: “She is such a good mother.She adores her children.” Only she herself, and her children themselves, knew it was not so.They read it in each other’s eyes."
"家里有一个男孩，两个小女孩。他们住在一栋舒适的带花园的房子里，家里有言行审慎的仆人。和街坊四邻中的任何一家相比，他们都觉得自己家高人一等。","There were a boy and two little girls.They lived in a pleasant house, with a garden, and they had discreet servants, and felt themselves superior to anyone in the neighbourhood."
"尽管日子过得奢侈阔气，他们却总感到家里有件让人焦虑的事情。那就是，钱永远都不够花。母亲收入微薄，父亲收入也不高，他们想维持这个家的社会地位，而这些钱却远远不够。父亲在城里任职。尽管前景大好，但这些前景却从未实现过。他们一如既往地过着体面阔气的生活，而缺钱的感觉却使他们备受折磨。","Although they lived in style, they felt always an anxiety in the house.There was never enough money.The mother had a small income, and the father had a small income, but not nearly enough for the social position which they had to keep up.The father went in to town to some office.But though he had good prospects, these prospects never materialized.There was always the grinding sense of the shortage of money, though the style was always kept up."
"终于，母亲开口道：“我倒要看看，我是不是真的什么也做不了。”可是她却不知道从哪里着手。她绞尽脑汁，不断尝试，最终却一事无成。挫败使她的脸上长出了深深的皱纹。孩子们一个个长大了，他们得上学。必须要有更多钱，必须要有更多钱。这位父亲，总是英俊潇洒、喜好奢华，却似乎从来都做不了一件值得一做的事情。而这位极为自信的母亲，像父亲一样喜好奢华，却也比父亲成功不了多少。","At last the mother said: “I will see if @I@ can’t make something.” But she did not know where to begin.She racked her brains, and tried this thing and the other, but could not find anything successful.The failure made deep lines come into her face.Her children were growing up; they would have to go to school.There must be more money, there must be more money.The father, who was always very handsome and expensive in his tastes, seemed as if he never @would@ be able to do anything worth doing.And the mother, who had a great belief in herself, did not succeed any better, and her tastes were just as expensive."
"因此，家里萦绕着一句未曾言明的话：必须要有更多钱！必须要有更多钱！圣诞节，当昂贵耀眼的玩具堆满儿童室时，孩子们便能听到这声音。在闪亮的时髦的木马背后，在洋娃娃居住的漂亮小屋背后，一个声音开始低诉：“必须要有更多钱！必须要有更多钱！”木马正轻轻地摇动着，有低语声从它的弹跳中传来，甚至连似乎正在低头咬着马嚼子的木马自己，也听见了这低语声。粉红色的大玩具娃娃坐在新童车里傻笑，它清楚地听到了这声音，并且似乎因此而傻笑得更加忸怩。还有取代玩具熊的傻乎乎的小狗，它看起来格外傻头傻脑，不是由于别的原因，正是因为它听到了萦绕房中的私语：“必须要有更多钱！”然而却从没有人大声说出来过。这种低语声无处不在，也因此而无人将它说出口。就像没有人说“我们正在呼吸！”一样，虽然事实上人们一直在呼吸。","And so the house came to be haunted by the unspoken phrase: @There must be more money! There must be more money!@ The children could hear it at Christmas, when the expensive and splendid toys filled the nursery.Behind the shining modern rocking-horse, behind the smart doll’s-house, a voice would start whispering: “There @must@ be more money!There @must@ be more money!” It came whispering from the springs of the still-swaying rocking-horse, and even the horse, bending his wooden, champing head, heard it.The big doll, sitting so pink and smirking in her new pram, could hear it quite plainly, and seemed to be smirking all the more self-consciously because of it.The foolish puppy, too, that took the place of the teddy-bear, he was looking so extraordinarily foolish for no other reason but that he heard the secret whisper all over the house: “There @must@ be more money!” Yet nobody ever said it aloud.The whisper was everywhere, and therefore no one spoke it.Just as no one ever says: “We are breathing!” in spite of the fact that breath is coming and going all the time."
"“妈妈，”有一天男孩保罗说，“为什么我们没有一辆自己的车呢？为什么我们总用舅舅的车，不然就坐出租车呢？”母亲说：“因为我们是家族里最穷的。”","“Mother,” said the boy Paul one day, “why don’t we keep a car of our own?Why do we always use uncle’s or else a taxi?” “Because we’re the poor members of the family,” said the mother."
"“为什么是我们最穷呢，妈妈？”“嗯——我想，”她缓慢而苦涩地说道，“是因为你爸爸不走运。”男孩沉默了一阵。","“But why @are@ we, mother?” “Well—I suppose,” she said slowly and bitterly, “it’s because your father has no luck.” The boy was silent for some time."
"“运气是钱吗，妈妈？”他怯生生地问道。","“Is luck money, mother?” he asked, rather timidly."
