"en","zh"
"The Curious Dream","奇怪的梦"
"by Mark Twain","作者：马克·吐温"
"CONTAINING A MORAL","（包含一种寓意）　　"
"Night before last I had a singular dream.","前天晚上，我做了一个奇怪的梦。"
"I seemed to be sitting on a doorstep (in no particular city perhaps) ruminating, and the time of night appeared to be about twelve or one o’clock.","我梦见自己好像坐在门口的台阶上（或许不在一个特定的城市）沉思。时间大概是深夜12点，或者凌晨1点钟的样子。"
"The weather was balmy and delicious.","天气温和宜人。"
"There was no human sound in the air, not even a footstep.","周围没有人说话的声音，甚至连脚步声都没有。"
"There was no sound of any kind to emphasize the dead stillness, except the occasional hollow barking of a dog in the distance and the fainter answer of a further dog.","除了远处偶尔传来的一只狗的几声沉闷的叫声以及更远处狗的微弱的应和声外，听不到一丝声音，四周一片死寂。"
"Presently up the street I heard a bony clack-clacking, and guessed it was the castanets of a serenading party.","当时在街上，我听到了一种像是骨头摩擦发出的咔咔声，我猜想这是派对上演奏小夜曲时响板发出的声音。"
"In a minute more a tall skeleton, hooded, and half clad in a tattered and moldy shroud, whose shreds were flapping about the ribby latticework of its person, swung by me with a stately stride and disappeared in the gray gloom of the starlight.","不一会儿，我看到一个高大的骷髅，头上戴着风帽，用一块破烂发霉的裹尸布半裹着身子，那些烂布条在他尸衣的格纹布上不停地摆动。他迈着庄严的步伐，从我身边走过，消失在昏暗朦胧的星光里。"
"It had a broken and worm-eaten coffin on its shoulder and a bundle of something in its hand.","他的肩上扛的是一副被虫蛀坏的破烂棺材，手上还有一卷什么东西。"
"I knew what the clack-clacking was then; it was this party’s joints working together, and his elbows knocking against his sides as he walked.","那时，我才知道那咔咔声是怎么回事；原来是这家伙的关节一起活动以及他走路时手肘碰到两侧的骨骼发出的声音。"
"I may say I was surprised.","不得不说，我当时很惊讶。"
"Before I could collect my thoughts and enter upon any speculations as to what this apparition might portend, I heard another one coming for I recognized his clack-clack.","我还没回过神来，没来得及猜测这个鬼怪的出现预示着什么，就听到了另一个人走过来，因为这回我听出了那种咔咔声。"
"He had two-thirds of a coffin on his shoulder, and some foot and head boards under his arm.","他把棺材的三分之二都扛在他的肩上，把棺头和棺尾的木板夹在他的臂下。"
