"zh","en"
"埃德加的故事（试读）","The Story of Edgar Sawtelle"
"**生命及其所具备的诸般力量，最初是被注入少数几种甚或一种形态之中的；这颗行星依照引力的既定法则周而复始地运转，与此同时无数美丽之极、奥妙之极的生命形态从如此简单的起源进化而来，并且还在进化之中——这是一种十分宏伟的生命观。**",""
"**<div align=""right"">——查尔斯·达尔文《物种起源》</div>**",""
"序幕",""
"**韩国｜釜山／1952年**",""
"天黑之后又下起了雨，不过他反正早已打定主意要去，况且这雨也已经下了几个星期了。他挥手赶开聚在码头边揽客的人力车夫，从海军基地一路步行而去。沿着别人指示的简略方向，他穿过全利集市广场上的人群，从形形色色的小贩身旁走过。有些小贩卖的是装在粗糙藤编盒子里的公鸡，有些卖的是猪头，还有些卖的是颜色蓝兮兮的鱼——这些鱼看起来好像有毒，一条条被开膛破肚摆在摊子上。他经过泡在玻璃罐里的灰色章鱼，经过高声叫卖韩国泡菜和烤牛肉的老妇，最后穿过了哀伤桥上的通岗——那是他熟悉的最后一个地标。",""
"在酒吧区从一个屋顶扯到另一个屋顶的店招下面，积起的水洼里泛着红红绿绿的光。这儿没别的军人，也没有宪兵，他为找一块招牌走了很久，那上头画着一只乌龟和两条蛇。一条条街巷仿佛怎么也走不完，他根本没看到这样的招牌，而且就没有一个街角是规整的。过了一会儿，雨变小了，成了一团飘忽不定、倏忽消散的雾气。不过他还是继续往前走，有条不紊地向右拐了两个弯，又朝左拐了两次，坚持搜寻着目标，虽说他此时迷失方向已经有好多次了。直到午夜之后，他才放弃。他沿原路返回，正顺着一条刚才走过两次的街道往前走，终于看到了那个招牌——黄色的招牌很小，高悬在一家酒吧的墙角。一条蛇盘着身子，扭过头要去咬乌龟的尾巴。就是朴先生说的样子。",""
"他听别人说要找招牌对面的一条小巷，现在巷子他也看到了——窄小、潮湿，半边铺着鹅卵石，地面朝港口的方向倾斜，仅有的一丝光亮来自巷子对面的店招牌，还有沿街几扇窗户里映出的灯光。他从街上走进小巷，自己的影子仿佛在前方引路。现在应该能看到一个挂着灯的门洞——红色的灯。是一家药草铺。他抬头望了望天空，看着暗沉沉的乌云在屋顶上飘过。一家破烂不堪的澡堂窗口传出了女人的尖叫，还有男人的纵声大笑。有人把唱针搁在了唱片上，多丽丝·黛[^aidejiaxumunote1]颤悠悠的歌声飘进了小巷。",""
"<br/>",""
"    我又一次放纵不羁，又一次让自己沉迷，     又成了个孩子，痴痴地笑，傻傻地哭。    我又一次心醉神迷、心意烦乱，又一次没了主意。",""
