"zh","en"
"光脸熊","Bald-Face"
"光脸熊","Bald-Face"
"作者：杰克·伦敦","by Jack London"
"在把这个故事投给安吉斯之前，杰克·伦敦已经向大约十几家期刊投了稿。《光脸熊》是个关于山坡灰熊的故事，这种熊的后腿比前腿长一倍。","Jack London submitted this story to nearly a dozen periodicals before giving it to the Aegis.Bald-Face is a bear yarn about a side-hill grizzly whose down-hill-side legs are twice as long as the uphill-side legs."
"“说起熊——”","“Talkin’ of bear—”"
"克朗代克的国王顿了一下，若有所思，旅馆门廊里的人们急忙把椅子拉近了些。","The Klondike King paused meditatively, and the group on the hotel porch hitched their chairs up closer."
"“说起熊，”他接着说道，“现在北方有各种各样的熊。比如，就在这小小的佩利河上，到了夏天，它们密密麻麻地来到河边，捕食河里的大麻哈鱼。在距离此地一天行程的范围内，你看不见一个印第安人或者白人敢靠近。而兰帕特山上有一种奇特的熊，叫‘山坡灰熊’。它之所以被叫做山坡灰熊，是因为自灭世洪水以来，它就在山坡上游走，后腿比前腿长一倍。它要是恼了，跑得比长耳大野兔还快。可怕吧？它逮住过你吗？上帝保佑，希望没有。你只需要沿着另一条路绕着山坡向下跑就行了。你瞧，这样就使熊先生突然成了长腿在上、短腿在下了。没错，它是个强大而又奇怪的家伙，但这不是我开头想说的。","“Talkin’ of bear,” he went on, “now up in the Northern Country there are various kinds.On the Little Pelly, for instance, they come down that thick in the summer to feed on the salmon that you can’t get an Indian or white man to go nigher than a day’s journey to the place.And up in the Rampart Mountains there’s a curious kind of bear called the ‘side-hill grizzly.’ That’s because he’s traveled on the side-hills ever since the Flood, and the two legs on the down-hill side are twice as long as the two on the up-hill.And he can out-run a jack rabbit when he gets steam up.Dangerous?Catch you?Bless you, no.All a man has to do is to circle down the hill and run the other way.You see, that throws mister bear’s long legs up the hill and the short ones down.Yes, he’s a mighty peculiar creature, but that wasn’t what I started in to tell about."
"“在育空河还有一种熊，腿倒是正常的。这种熊叫光脸灰熊，又大又厉害。只有愚蠢的白人才想着要猎杀它。印第安人可理智多了。但关于光脸熊，有一点你得记住：它绝不会给活物让路。要是你看见它过来了，要是你还疼惜自己的皮肉，你就得给它让路。不然的话，你肯定就有麻烦了。就算是在路上碰见耶和华本人，光脸熊也不会让一英寸。哦，它是个自私的家伙，相信我的话。可我不得不知道这些。来村子之前，我对熊一无所知，只是在孩童时代见过一大群黄褐色的动物，还有那种小的黑色的动物。那些动物倒没什么可怕的。","“They’ve got another kind of bear up on the Yukon, and his legs are all right, too.He’s called the bald-face grizzly, and he’s jest as big as he is bad.It’s only the fool white men that think of hunting him.Indians got too much sense.But there’s one thing about the bald-face that a man has to learn: he never gives the trail to mortal creature.If you see him comin’, and you value your skin, you get out of his path.If you don’t, there’s bound to be trouble.If the bald-face met Jehovah Himself on the trail, he’d not give him an inch.O, he’s a selfish beggar, take my word for it.But I had to learn all this.Didn’t know anything about bear when I went into the country, exceptin’ when I was a youngster I’d seen a heap of cinnamons and that little black kind.And they was nothin’ to be scared at."
"“我们在申请的土地上安定下来后，我上山去找一块合适的桦木做斧头柄。可是找块合适的很不容易，我就一直找，找了快两个钟头。你看，我急于想找到一块，因为我正朝福克斯走去，在那儿我可以管老乔·吉借块木头。动身时，我往口袋里装了两块酵头饼干，还有一些肥腊肉，我怕自己会饿。告诉你，我没把它们吃完就到了午餐时间，这些刚好派上用场。","“Well, after we’d got settled down on our claim, I went up on the hill lookin’ for a likely piece of birch to make an ax-handle out of.But it was pretty hard to find the right kind, and I kept a-goin’ and kept a-goin’ for nigh on two hours.Wasn’t in no hurry to make my choice, you see, for I was headin’ down to the Forks, where I was goin’ to borrow a log-bit from Old Joe Gee.When I started, I’d put a couple of sour-dough biscuits and some sow-belly in my pocket in case I might get hungry.And I’m tellin’ you that lunch came in right handy before I was done with it."
"“不久以后，我偶然发现了一个再合适不过的小桦木苗，就长在一丛加拿大短叶松当中。我正要抡起斧头去砍时，恰巧看了一眼山下。一只大熊正往山上爬呢，它四脚着地，大摇大摆，直冲我的方向过来了。那是一只光脸熊，可那时候我对这种熊一点也不了解。","“Bime-by I hit upon the likeliest little birch saplin’, right in the middle of a clump of jack pine.Jest as I raised my hand-ax I happened to cast my eyes down the hill.There was a big bear comin’ up, swingin’ along on all fours, right in my direction.It was a bald-face, but little I knew then about such kind."
"“‘看我吓吓它。’我心想。于是我躲到了树林里。","“‘Jest watch me scare him, ’ I says to myself, and I stayed out of sight in the trees."
"“一直等它爬出大约一百英尺远，我才跑到空地上。","“Well, I waited till he was about a hundred feet off, then out I runs into the open."
"“‘嗷！嗷！’我对着它大叫，以为它会像链状闪电似的跑掉呢。","“‘Oof! oof!’ I hollered at him, expectin’ to see him turn tail like chain lightning."
"“跑掉？它一抬头，看好了就朝我冲来了。","“Turn tail?He jest throwed up his head for one good look and came a comin’."
"“‘嗷！嗷！’我叫的声音更大了。可它还是冲过来了。","“‘Oof! oof!’ I hollered, louder’n ever.But he jest came a comin’."
"“‘你自己找的！’我恼怒地想道，‘我会叫你滚到山涧里。’","“‘Consarn you!’ I says to myself, gettin’ mad. ‘I’ll make you jump the trail. ’ "
