"zh","en"
"接受采访","An Encounter with an Interviewer"
"接受采访","An Encounter with an Interviewer "
"作者：马克·吐温","by Mark Twain"
"那个穿戴整齐、略显紧张的“快活”小伙子坐到了我给他的椅子上，说他和《每日雷暴》有关系，还补充说：","The nervous, dapper, “peart” young man took the chair I offered him, and said he was connected with the Daily Thunderstorm, and added: "
"“希望我这次来采访，没有给您带来不便。”","“Hoping it’s no harm, I’ve come to interview you.”"
"“来干嘛？”","“Come to what?”"
"“采访您。”","“Interview you.”"
"“啊！我明白了。好的——好的。嗯！好——好。”","“Ah! I see.Yes—yes.Um!Yes—yes.”"
"那天早上我感觉不甚愉快。确实，我的情绪有点低落。但我还是走到书柜那里，看了六七分钟后，我觉得最好还是招呼一下那个小伙子。我说：","I was not feeling bright that morning.Indeed, my powers seemed a bit under a cloud.However, I went to the bookcase, and when I had been looking six or seven minutes I found I was obliged to refer to the young man.I said:—"
"“你如何拼写那个单词？”","“How do you spell it?”"
"“拼什么？”","“Spell what?”"
"“采访（interview）。”","“Interview.”"
"“哦，天哪！您要我拼它干什么？”","“Oh, my goodness! what do you want to spell it for?”"
"“我不是想拼它，我想弄清楚它的意思。”","“I don’t want to spell it; I want to see what it means.”"
"“哦，我不得不说，这让我很吃惊。我可以告诉您它的意思，如果您——如果您——”","“Well, this is astonishing, I must say.I can tell you what it means, if you—if you—” "
"“哦，好吧！那也可以，我也十分感谢你。”","“Oh, all right!That will answer, and much obliged to you, too.”"
"“In, in, ter, ter, inter—” ","“In, in, ter, ter, inter—” "
"“这么说你拼的时候以‘I’开头了？”","“Then you spell it with an I?”"
"“天啊，当然了！”","“Why certainly!”"
"“哦，那就是困扰我很久的问题。”","“Oh, that is what took me so long.”"
"“那么，我敬爱的先生，您提议这个词以什么开头呢？”","“Why, my dear sir, what did you propose to spell it with?”"
"“嗯，我——我——真的不知道。我有一本未删节的字典，我翻到字典末页，希望能在插图中找到那个词。但字典的版本太旧了。”","“Well, I—I—hardly know.I had the Unabridged, and I was ciphering around in the back end, hoping I might tree her among the pictures.But it’s a very old edition.”"
"“哦，我的朋友，即使是在最新的版本里，他们也不会给这个词配上插图——我亲爱的先生，请原谅，我绝对没有冒犯的意思，但您确实看起来不像——不像——我期待得那样聪明。不是冒犯——我绝对没有冒犯的意思。”","“Why, my friend, they wouldn’t have a picture of it in even the latest e——My dear sir, I beg your pardon, I mean no harm in the world, but you do not look as—as—intelligent as I had expected you would.No harm—I mean no harm at all.”"
"“哦，没有关系！经常有人说，而且都是那些不会奉承、而且也没有缘由要奉承的人说，我在那方面确实很不一般。是的——是的，他们总是兴高采烈地这么说。”","“Oh, don’t mention it!It has often been said, and by people who would not flatter and who could have no inducement to flatter, that I am quite remarkable in that way.Yes—yes; they always speak of it with rapture.”"
"“这点，我很容易就能想到。但是关于这次采访，您知道时下流行的风气，就是采访任何一个臭名昭著的人。”","“I can easily imagine it.But about this interview.You know it is the custom, now, to interview any man who has become notorious.”"
"“真的，我以前还从没听说过。那一定很有趣。你是如何处理这样的采访的？”","“Indeed, I had not heard of it before.It must be very interesting.What do you do it with?”"
"“啊，嗯——嗯——嗯——这很让人泄气。在某些情况下得用棍棒才能完成；不过通常情况下，都是采访人提问，被采访者回答问题。这就是现在的潮流。您同意我问一些会把您公开的和私人的历史都公之于众的重要问题吗？”","“Ah, well—well—well—this is disheartening.It ought to be done with a club in some cases; but customarily it consists in the interviewer asking questions and the interviewed answering them.It is all the rage now.Will you let me ask you certain questions calculated to bring out the salient points of your public and private history?”"
"“哦，乐意之至——乐意之至。我记性不大好，希望你不要介意。我的意思是说，我的记性时好时坏——不一般地时好时坏。有时记性像快马奔驰，有时候需要长达两个星期的时间才能过一个特定的点。这对我来说真是件悲惨的事。”","“Oh, with pleasure—with pleasure.I have a very bad memory, but I hope you will not mind that.That is to say, it is an irregular memory—singularly irregular.Sometimes it goes in a gallop, and then again it will be as much as a fortnight passing a given point.This is a great grief to me.”"
"“哦，那没关系，您就尽您所能做到最好吧。”","“Oh, it is no matter, so you will try to do the best you can.”"
"“我会的。我会全心全意投入的。”","“I will.I will put my whole mind on it.”"
"“谢谢。准备好开始了吗？”","“Thanks.Are you ready to begin?”"
"“准备好了。”","“Ready.”"
"问：您贵庚？","Q.How old are you?"
"答：到六月就满十九岁。","A.Nineteen, in June."
"问：真的？我还以为您三十五六了。您的出生地？","Q.Indeed.I would have taken you to be thirty-five or six.Where were you born?"
"答：密苏里州。","A.In Missouri."
"问：您何时开始从事写作？","Q.When did you begin to write?"
"答：1836年。","A.In 1836."
"问：啊，这怎么可能，如果您现在只有十九岁？","Q.Why, how could that be, if you are only nineteen now?"
"答：我不知道。这听起来是有点很奇怪。","A.I don’t know.It does seem curious, somehow."
