"zh","en"
"了不起的盖茨比","The Great Gatsby"
"第一章","Chapter 1"
"如果能让她心动，那就戴顶金帽子；如果你能跳高，那就也为她跳一跳，直到她高呼：“情人，戴着金帽子、高高跳起的情人，我非得将你要！”","Then wear the gold hat, if that will move her; If you can bounce high, bounce for her too, Till she cry ‘Lover, gold-hatted, high-bouncing lover, I must have you!’"
"——托马斯·帕克·丹维里埃","—THOMAS PARKE D’INVILLIERS"
"父亲在我年轻的时候对我的告诫，直到今天我还牢记于心。","In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since."
"“每当你想批评别人的时候，”他对我说，“一定要记得并不是世界上每个人都曾拥有你所拥有的优势。”","‘Whenever you feel like criticizing any one,’ he told me, ‘just remember that all the people in this world haven’t had the advantages that you’ve had.’"
"他没有再多说什么，但是我们之间的交流向来就不需要太多的语言，我也明白父亲的话意味深长。这样一来，我喜欢保留自己的所有看法，也正是这种习惯让我了解到很多生性古怪的人，同时也使我成为很多向来无聊的人的牺牲品。当一个正常人拥有这种特质的时候，那些心理异常的人很快就会发觉并将其死死缠住。于是，在大学里，我因为私下聆听了一些情绪失控的陌生人倾诉的秘密与痛楚，而无辜地被指责为“小政客”。我一般不会询问或打听别人的什么隐私或秘密。每当我明显感觉到有谁迫不及待地想对我倾吐心声的时候，我就假装睡觉，假装专心做事，或表现出一副不友好的样子，轻率了事——因为年轻人所倾诉的，或至少他们倾诉时说的那些话往往都是剽窃别人的，而且他们总是明显地克制自己。保留看法代表着无尽的希望。父亲一直这样略显清高地教育我，人从一出生开始，所拥有的优势和特质就不一样，我也一直略显清高地听从父亲的教导，而且至今我依然生怕自己由于忘记了父亲的教导而错过一些东西。 ","He didn’t say any more but we’ve always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that.In consequence I’m inclined to reserve all judgments, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores.The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men.Most of the confidences were unsought—frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon—for the intimate revelations of young men or at least the terms in which they express them are usually plagiaristic and marred by obvious suppressions.Reserving judgments is a matter of infinite hope.I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat a sense of the fundamental decencies is parcelled out unequally at birth."
"在对自己的容忍力做这么一番自我吹嘘之后，我还得承认自己的容忍力也是有限度的。一个人的操行可能坚守于磐石之上或湿地沼泽之中，但是超过了某种限度之后，我就不会在乎操行的基础到底是什么了。去年秋天我从东部归来以后，感觉自己好想让整个世界都穿上军装，全世界的人都能时刻将道德准则铭记于心，我不希望自己再肆无忌惮地带着优越感去窥探别人内心深处的秘密。唯独盖茨比——也就是将其名字奉献给本书的人——要被排除到我的反应之外，盖茨比也正代表了我始终所不屑和蔑视的一切。如果将人格视为持续不断地成功的表现，那么在盖茨比身上很了不起的一点就是他对于生活希望的高度敏感性，他的敏感能让人把他和那种能够记录千里之外地震数据的精密仪器相联系。盖茨比的敏感与那种被美其名曰为“创造性气质”的神经质不同，这种敏感是一种对于希望不同寻常的坚持，同时也是一种充满浪漫色彩的敏捷性。这种敏感是我从来不曾在哪个人的身上发现过的，我相信以后我也不会再从谁的身上找到。不——盖茨比一直都是不错的，而那些总是折磨着他的东西，那些在他梦醒之后将周围环境弄得污浊不堪的东西，却让我对于人们毫无意义的悲伤以及瞬间的欢快失去了兴趣。","And, after boasting this way of my tolerance, I come to the admission that it has a limit.Conduct may be founded on the hard rock or the wet marshes but after a certain point I don’t care what it’s founded on.When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart.Only Gatsby, the man who gives his name to this book, was exempt from my reaction—Gatsby who represented everything for which I have an unaffected scorn.If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away.This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the ‘creative temperament’—it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again.No—Gatsby turned out all right at the end; it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men."
"在这座中西部城市，我家连续三代都算是有头有脸的上流人士。卡拉韦家族也算庞大，相传我们是布克娄奇公爵的后裔，但我们家的创始人实际上是我爷爷的哥哥。1851年，他来到这里，找了个人替他去参加内战，然后自己开始做批发五金器具的生意，之后父亲继承经营，一直到今天。","My family have been prominent, well-to-do people in this middle-western city for three generations.The Carraways are something of a clan and we have a tradition that we’re descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather’s brother who came here in fifty-one, sent a substitute to the Civil War and started the wholesale hardware business that my father carries on today."
"据说我长得很像一位叔祖父，我从来没有见过这位叔祖父长什么样，唯一的依据就是父亲办公室里挂的那幅他毫无表情的照片。我于1915年毕业于纽黑文大学，刚好比父亲晚毕业整整二十五年。毕业不久我就参加了被延迟了的条顿民族大迁移，此次迁移被誉为“世界大战”。我彻彻底底地享受了一番反击的乐趣，回来之后还是久久无法平静。中西部已不再是世界上最舒适的地方了，现在它似乎变成了世界上最破旧的边缘——于是我决定去东部学习做债券生意。既然我认识的人都在做债券生意，那么也就不在乎再多一个我这样的单身汉了。我的叔姨姑舅们对此大加讨论一番，仿佛在帮我挑选大学预科学校一样，最后他们个个表情沉重，满脸犹豫地说：“干嘛不去，要不就去吧！”父亲同意帮我支付一年的费用。几经推迟后，我于1922年春天来到了东部，那时自己感觉是要在这里一直定居下去。","I never saw this great-uncle but I’m supposed to look like him—with special reference to the rather hard-boiled painting that hangs in Father’s office.I graduated from New Haven in 1915, just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War.I enjoyed the counter-raid so thoroughly that I came back restless.Instead of being the warm center of the world the middle-west now seemed like the ragged edge of the universe—so I decided to go east and learn the bond business.Everybody I knew was in the bond business so I supposed it could support one more single man.All my aunts and uncles talked it over as if they were choosing a prep-school for me and finally said, ‘Why—ye-es’ with very grave, hesitant faces.Father agreed to finance me for a year and after various delays I came east, permanently, I thought, in the spring of twenty-two."
