"zh","en"
"金银岛","Treasure Island"
"金银岛","Treasure Island"
"作者： 罗伯特·路易斯·史蒂文森 ","by Robert Louis Stevenson"
"目录第一章 住在“本博将军”旅店的老水手第二章 黑狗出现又消失了第三章 黑劵第四章 航海用的大箱子第五章 瞎子的下场第六章 船长的文件第七章 我去布里斯托尔第八章 在挂“望远镜”招牌的酒馆里第九章 火药和武器第十章 航行第十一章 我在苹果桶里听到的第十二章 军事会议第十三章 开始我的陆上冒险第十四章 第一次打击第十五章 岛上的人第十六章 医生继续讲述：弃船的经过第十七章 医生继续讲述：小艇的最后一次行驶第十八章 医生继续讲述：第一天战斗的结束第十九章 吉姆·霍金斯继续讲述：驻守在栅栏的人第二十章 西尔弗的谈判第二十一章 进攻第二十二章 我的海上历险是如何开始的第二十三章 退潮第二十四章 小船巡洋第二十五章 我降下了骷髅旗第二十六章 伊斯雷尔·汉兹第二十七章 “八个里亚尔”第二十八章 身在敌营第二十九章 又见黑券第三十章 宣誓后获释第三十一章 寻宝——弗林特的指示第三十二章 寻宝——树林中的人声第三十三章 西尔弗的垮台第三十四章 结尾","ContentChapter 1     The Old Sea—dog at the Admiral BenbowChapter 2     Black Dog Appears and DisappearsChapter 3     The Black SpotChapter 4     The Sea-chestChapter 5     The Last of the Blind Man Chapter 6     The Captain’s Papers Chapter 7      I Go to Bristol Chapter 8      At the Sign of the Spy-glass Chapter 9      Powder and Arms Chapter 10     The VoyageChapter 11     What I Heard in the Apple BarrelChapter 12     Council of WarChapter 13     How My Shore Adventure BeganChapter 14     The First BlowChapter 15     The Man of the IslandChapter 16     Narrative Continued by the Doctor: How the Ship Was AbandonedChapter 17     Narrative Continued by the Doctor: The Jolly-boat’s Last TripChapter 18     Narrative Continued by the Doctor: End of the First Day’s FightingChapter 19     Narrative Resumed by Jim Hawkins: The Garrison in the StockadeChapter 20      Silver’s EmbassyChapter 21      The AttackChapter 22      How My Sea Adventure BeganChapter 23      The Ebb-tide RunsChapter 24      The Cruise of the CoracleChapter 25      I Strike the Jolly RogerChapter 26      Israel HandsChapter 27      “Pieces of Eight”Chapter 28      In the Enemy’s CampChapter 29      The Black Spot AgainChapter 30      On ParoleChapter 31      The Treasure-hunt—Flint’s PointerChapter 32      The Treasure-hunt—The Voice Among the TreesChapter 33      The Fall of a ChieftainChapter 34      And Last "
"第一章 住在“本博将军”旅店的老水手","Chapter1 The Old Sea-dog at the Admiral Benbow   "
"乡绅特里劳尼、利夫西医生和其他这些先生们早就想叫我把有关金银岛的全部细节写出来，从头到尾、毫无保留，除了金银岛的位置,那只是因为至今在那里还有没被挖出来的宝藏。于是我在一七几几年拿起笔来，回到过去我父亲开“本博将军”旅店的时候，那会儿那个褐色皮肤、脸上带着刀疤的老水手第一次住进了我们的旅店。我至今对他记忆犹新。当时他迈着沉重的步子来到旅店门前，他的水手储物箱就放在他身后的一个手推车上。他身材高大，强壮而结实，有着坚果般棕色的皮肤。他穿了一件脏兮兮的蓝色外套，粘乎乎的大辫子垂在肩膀上。他粗糙的双手布满了疤痕，指甲是黑的，还残缺不全。一道脏兮兮的铅灰色刀疤横贯他一侧的脸颊。我记得他一面环顾着小海湾，一面给自己吹着口哨，然后突然扯开嗓子唱起了那首后来他经常挂在嘴边的古老的水手歌：“十五个人站在聚魂棺上——呦——嗬——嗬——还有一瓶朗姆酒！”","SQUIRE TRELAWNEY, Dr.Livesey, and the rest of these gentlemen having asked me to write down the whole particulars about Treasure Island, from the beginning to the end, keeping nothing back but the bearings of the island,and that only because there is still treasure not yet lifted, I take up my pen in the year of grace 17—and go back to the time when my father kept the Admiral Benbow inn and the brown old seaman with the sabre cut first took up his lodging under our roof.I remember him as if it were yesterday, as he came plodding to the inn door, his sea-chest following behind him in a hand-barrow—a tall, strong, heavy, nut-brown man, his tarry pigtail falling over the shoulder of his soiled blue coat, his hands ragged and scarred, with black, broken nails, and the sabre cut across one cheek, a dirty, livid white.I remember him looking round the cove and whistling to himself as he did so, and then breaking out in that old sea-song that he sang so often afterwards: “Fifteen men on the dead man’s chest—Yo—ho—ho, and a bottle of rum!”"
"那苍老的声音高亢而颤抖，仿佛是按照船上的绞盘杆定的调，又按照它唱走了音。然后他用一根随身携带的类似绞盘棒的棍子重重地敲门，当我父亲出来时，他又粗鲁地要了一杯朗姆酒。酒端给他的时候，他慢慢地喝着，就像一个品酒师一样细细地品着，眼睛仍然望着悬崖，还有头上我们旅店的招牌。","In the high, old tottering voice that seemed to have been tuned and broken at the capstan bars.Then he rapped on the door with a bit of stick like a handspike that he carried, and when my father appeared, called roughly for a glass of rum.This, when it was brought to him, he drank slowly, like a connoisseur, lingering on the taste and still looking about him at the cliffs and up at our signboard."
"“这是个位置便利的小海湾，”他终于开口说道，“而且这个小酒店的位置也不错。客人多么，伙计？”","“This is a handy cove,” said he at length; “and a pleasant sittyated grog-shop.Much company, mate?”"
"我父亲告诉他，客人不多，遗憾的就是客人太少了。","My father told him no, very little company, the more was the pity."
"“那么，好吧，”他说，“这就是我停泊的住处了。伙计，到这来。”他朝推着手推车的人喊道，“把车子停到边上，帮我卸箱子。我要在这住些日子。”他继续说道，“我是个粗人，只要有朗姆酒、培根和鸡蛋就够了，当然还要那可以看着船起航的悬崖。你们该叫我什么呢？就叫我船长吧。哦，我知道你们什么意思了——看那儿。”他把三四个金币扔到门槛上。“用完了，你们就告诉我一声。”他说道，看起来严厉得像个指挥官。","“Well, then,” said he, “this is the berth for me. Here you, matey,” he cried to the man who trundled the barrow;“bring up alongside and help up my chest.I’ll stay here a bit,” he continued.“I’m a plain man; rum and bacon and eggs is what I want, and that head up there for to watch ships off.What you mought call me? You mought call me captain.Oh, I see what you’re at—there,” and he threw down three or four gold pieces on the threshold.“You can tell me when I’ve worked through that,” said he, looking as fierce as a commander."
"说实在的，尽管他衣衫褴褛，语言粗俗，但他的外表却根本不像一个在桅杆前航行的水手，倒像个习惯发号施令或者挥手动拳的大副或者船长。这个带着手推车的人告诉我们，邮车昨天早上把他送到“乔治王”旅店，他打听了岸边有什么旅店，我想他是听说我们的旅店名声很好，别人又都说这儿是个僻静的地方，于是就在众多旅店中选中了我们这家。这就是我们所能知道的关于这个客人的一切了。","And indeed bad as his clothes were and coarsely as he spoke, he had none of the appearance of a man who sailed before the mast, but seemed like a mate or skipper accustomed to be obeyed or to strike.The man who came with the barrow told us the mail had set him down the morning before at the Royal George, that he had inquired what inns there were along the coast, and hearing ours well spoken of, I suppose, and described as lonely, had chosen it from the others for his place of residence.And that was all we could learn of our guest."
