"en","zh"
"The Stolen White Elephant","被偷的白象"
"by Mark Twain","作者：马克·吐温"
"I","一"
"[Left out of A Tramp Abroad, because it was feared that some of the particulars had been exaggerated, and that others were not true.","[略去了一段在国外流浪的经历，这是因为担心有些细节会被认为是夸张了的，或者另外细节是子虚乌有的。"
"Before these suspicions had been proven groundless, the book had gone to press.","在这些疑点未被证实之前，这本书就被送去出版了。"
"—M. T.]","——马克·吐温]"
"The following curious history was related to me by a chance railway acquaintance.","下面这个奇特的故事是一个在火车上偶然认识的人讲给我听的。"
"He was a gentleman more than seventy years of age, and his thoroughly good and gentle face and earnest and sincere manner imprinted the unmistakable stamp of truth upon every statement which fell from his lips.","他是一位年过七旬的绅士。他看上去面善得很，温文尔雅的脸庞以及认真诚恳的态度使得所有从他嘴里说出来的话都让人深信不疑。"
"He said:","他说："
"You know in what reverence the royal white elephant of Siam is held by the people of that country.","你知道在暹罗，皇室的白象是何等地受国民发尊崇吗？"
"You know it is sacred to kings, only kings may possess it, and that it is, indeed, in a measure even superior to kings, since it receives not merely honor but worship.","它对国王们来说是很神圣的，只有国王才可能会拥有它。因为它不仅仅受到尊敬，还受到敬仰，所以在一定程度上来说，它确实甚至比国王的地位还要高。"
"Very well; five years ago, when the troubles concerning the frontier line arose between Great Britain and Siam, it was presently manifest that Siam had been in the wrong.","好啦，话说那是五年前，大不列颠和暹罗起了边界纠纷，不久就证实是暹罗这一方有错，应承担责任。"
"Therefore every reparation was quickly made, and the British representative stated that he was satisfied and the past should be forgotten.","于是很快全部的赔偿手续都已办妥。英国代表表示他很满意，过去的一切都将一笔勾销。"
"This greatly relieved the King of Siam, and partly as a token of gratitude, partly also, perhaps, to wipe out any little remaining vestige of unpleasantness which England might feel toward him, he wished to send the Queen a present—the sole sure way of propitiating an enemy, according to Oriental ideas.","这让暹罗国王大大地松了一口气，一方面是为了表示感激，另一方面或许是为了消除英国对他残余的哪怕一点点的不愉快，他想送给英国女王一件礼物——按照东方人的观念，这是与敌人冰释前嫌唯一可靠的办法。"
"This present ought not only to be a royal one, but transcendently royal.","这件礼物不仅应当高贵，而且还应当特别高贵。"
"Wherefore, what offering could be so meet as that of a white elephant?","因此，还有什么比白象更为适合的呢？"
"My position in the Indian civil service was such that I was deemed peculiarly worthy of the honor of conveying the present to her Majesty.","我当时在印度的行政部门任职，所以大家认为我特别配得上把这个礼物送到女王陛下手上的荣誉。"
"A ship was fitted out for me and my servants and the officers and attendants of the elephant, and in due time I arrived in New York harbor and placed my royal charge in admirable quarters in Jersey City.","出行的船为我准备好了，随行的仆人、士兵以及为白象服务的侍从们也为我安排了。我按时抵达了纽约港，并且把这个皇家委托物安置在了泽西城中一个极好的地方。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　"
"It was necessary to remain awhile in order to recruit the animal’s health before resuming the voyage.","在再次起航之前，为了让白象恢复健康，停下来休整一段时间是很有必要的。"
"All went well during a fortnight—then my calamities began.","两周过去了，一切情况良好——然后我的灾难就开始了。"
"The white elephant was stolen!","这头白象被偷走了！"
"I was called up at dead of night and informed of this fearful misfortune.","我在深更半夜被人叫醒，然后就得知了这个可怕的噩耗。"
"For some moments I was beside myself with terror and anxiety; I was helpless.","有那么个一时半会儿，我恐惧焦躁到了极点，我感到很无助。"
"Then I grew calmer and collected my faculties.","后来我渐渐冷静下来，开始绞尽脑汁地想法子。"
"I soon saw my course—for, indeed, there was but the one course for an intelligent man to pursue.","很快我便想到了一个办法——因为聪明人实际上都只会想到这一个办法。"
"Late as it was, I flew to New York and got a policeman to conduct me to the headquarters of the detective force.","尽管已经很晚了，但是我还是搭飞机去了纽约，找到一个警察，让他带我去侦查队的总部。"
"Fortunately I arrived in time, though the chief of the force, the celebrated Inspector Blunt was just on the point of leaving for his home.","幸运的是，我到得很及时。当时侦察队的头领，也就是大名鼎鼎的督察长布伦特先生正打算回家。"
"He was a man of middle size and compact frame, and when he was thinking deeply he had a way of kniting his brows and tapping his forehead reflectively with his finger, which impressed you at once with the conviction that you stood in the presence of a person of no common order.","他身材中等，体格结实。陷入沉思的时候，他会不自觉地皱起眉头，还用手指轻敲前额。那动作让人立马就觉得，站在面前的这位绝对不是等闲之辈。"
"The very sight of him gave me confidence and made me hopeful.","一见到他，我就有了信心，感觉到了希望。"
"I stated my errand.","我说出了此行的使命。"
"It did not flurry him in the least; it had no more visible effect upon his iron self-possession than if I had told him somebody had stolen my dog.","他却丝毫不慌张，就像现在我告诉他的是我的狗被偷了那般泰然自若，丝毫不受影响。"
"He motioned me to a seat, and said, calmly:","他示意让我坐下，然后很镇定地说："
"“Allow me to think a moment, please.”","“请允许我思考一会儿。”"
"So saying, he sat down at his office table and leaned his head upon his hand.","说着，他就在自己的办公桌旁边坐了下来，用一只手托起脑袋。"
"Several clerks were at work at the other end of the room; the scratching of their pens was all the sound I heard during the next six or seven minutes.","房间的另一头，有几个职员在那里工作。在接下来的六七分钟里，我只听到了他们笔头划出的沙沙声。"
"Meantime the inspector sat there, buried in thought.","这期间，那位督察长就一直坐在那里，陷入沉思之中。"
"Finally he raised his head, and there was that in the firm lines of his face which showed me that his brain had done its work and his plan was made.","终于他抬起了头，脸上的坚定神情告诉我，他已经思考完毕，并且想好了计划。"
"Said he—and his voice was low and impressive:","他说——声音低沉而威严："
"“This is no ordinary case.","“这不是件普通的案子。"
"Every step must be warily taken; each step must be made sure before the next is ventured.","每一步都必须要小心谨慎，在冒险走下一步之前，每一步都一定要做到有把握。"
"And secrecy must be observed—secrecy profound and absolute.","同时要注意保密——要彻底、绝对保密。"
"Speak to no one about the matter, not even the reporters.","不要对任何人提起此事，就算是记者也不行。"
"I will take care of them; I will see that they get only what it may suit my ends to let them know.”","我来招呼他们，我保证，他们只会得到符合我目的的信息。”"
"He touched a bell; a youth appeared.","他按了一下铃，一个年轻人就出现了。"
"“Alaric, tell the reporters to remain for the present.”","“阿拉里克，去叫那些记者们暂时先留下。”"
"The boy retired.","那个年轻人就出去了。"
"“Now let us proceed to business—and systematically.","“现在我们就进入正题吧——要很系统地谈。"
"Nothing can be accomplished in this trade of mine without strict and minute method.”","干我们这行的，如果不严格细致地去处理事情，那么肯定是什么也办不成的。”"
"He took a pen and some paper.","他拿出一支笔和一些纸。"
"“Now—name of the elephant?”","“那么——这头象叫什么？”"
"“Hassan Ben Ali Ben Selim Abdallah Mohammed Moist Alhammal Jamsetjejeebhoy Dhuleep Sultan Ebu Bhudpoor.”","“哈桑·本·阿里·本·塞利姆·阿布达拉·穆罕默德·莫伊兹·阿尔罕穆尔·贾母舍杰吉布荷伊·杜利普·苏丹·埃布·布德普尔。”"
"“Very well.","“很好。"
"Given name?”","常用名字呢？”"
"“Jumbo.”","“金宝。”"
"“Very well.","“很好。"
"Place of birth?”","出生地？”"
"“The capital city of Siam.”","“暹罗的首都。”"
"“Parents living?”","“双亲还在吗？”"
"“No—dead.”","“不在——都死了。”"
"“Had they any other issue besides this one?”","“除了这头，它们还生过别的象没？”"
"“None.","“没有。"
"He was an only child.”","它是独生子。”"
"“Very well.","“很好。"
"These matters are sufficient under that head.","在这个部分，有这几点就足够了。"
