"zh","en"
"唱歌课","The Singing Lesson"
"唱歌课","The Singing Lesson."
"作者：曼斯菲尔德","by Katherine Mansfield"
"怀着埋在内心深处刀刺般让人心寒、让人心痛的绝望，梅多斯小姐头戴方帽，身穿长袍，拿着小指挥棒，穿行于通往音乐厅的冰冷走廊里。不同年龄的女学生们，脸蛋被风吹得红红的，在秋天晴朗的早晨跑来学校时，抑制不住内心的喜悦和激动，匆匆忙忙、蹦蹦跳跳，蝴蝶似的飞过她的身边，一间间空荡荡的教室里很快传出一阵阵的嗡嗡声，上课的铃声响了，有个鸟鸣般的声音喊着：“缪里尔。”这时楼梯上传来了一阵巨大的撞击声。有人把哑铃弄掉了。","With despair—cold, sharp despair—buried deep in her heart like a wicked knife, Miss Meadows, in cap and gown and carrying a little baton, trod the cold corridors that led to the music hall.Girls of all ages, rosy from the air, and bubbling over with that gleeful excitement that comes from running to school on a fine autumn morning, hurried, skipped, fluttered by; from the hollow class-rooms came a quick drumming of voices; a bell rang; a voice like a bird cried, “Muriel.”And then there came from the staircase a tremendous knock-knock-knocking.Some one had dropped her dumbbells."
"理科女教师叫住了梅多斯小姐。","The Science Mistress stopped Miss Meadows."
"“早上——好。”她用甜美的声音做作地拉着长调喊道，“这天真冷不是？真像冬——天。”","“Good mor—ning,” she cried, in her sweet, affected drawl.“Isn’t it cold?It might be win—ter.”"
"梅多斯小姐心里正刺着绝望那把刀子，满怀仇恨地盯着理科女教师。她这个人浑身上下都像蜂蜜一样甜软。要是你看到有一只蜜蜂被她那头黄发缠绕住了，也不会感到惊讶。","Miss Meadows, hugging the knife, stared in hatred at the Science Mistress.Everything about her was sweet, pale, like honey.You would not have been surprised to see a bee caught in the tangles of that yellow hair."
"“相当冷了。”梅多斯小姐冷冰冰地说。","“It is rather sharp,” said Miss Meadows, grimly."
"对方冲她甜甜地一笑。","The other smiled her sugary smile."
"“你看起来冻——僵了。”她说。她一双蓝眼睛睁得大大的，眼神中带着一丝嘲笑的意味。（难道她看出什么了？）","“You look fro—zen,” said she.Her blue eyes opened wide; there came a mocking light in them.(Had she noticed anything?)"
"“噢，还没那么糟。”梅多斯小姐说，她迅速地对理科女教师做了个鬼脸，算是回敬她的微笑，继续往前走去……","“Oh, not quite as bad as that,” said Miss Meadows, and she gave the Science Mistress, in exchange for her smile, a quick grimace and passed on..."
"四、五、六年级的学生们已经聚集在音乐厅里了。吵闹声震耳欲聋。讲台上，钢琴旁边站着玛丽·比兹利，她是梅多斯小姐最喜欢的学生，负责钢琴伴奏。她正在转动琴凳。她一看见梅多斯小姐就大声发出警告“嘘——嘘！姑娘们！”梅多斯小姐双手插在袖子里，腋下夹着指挥棒，沿着中间过道大步走来，她登上台阶，猛地转过身去，抓起黄铜乐谱架，放在自己面前，用她的指挥棒使劲地敲了两下，示意大家安静下来。　　　　　“请安静！马上安静下来！”她没有瞧任何人，只是扫视了一下穿着各种颜色法兰绒上衣的学生们，她们粉红色的脸蛋和手在晃动着，头上的蝴蝶结也在抖动着，一本本乐谱都打开了。她很清楚她们在想什么。“梅弟发怒了。”好吧，就让她们这么想吧！她眨了眨眼睛，猛地仰头，对抗着她们的目光。那些学生有什么想法跟这个站在讲台上就要流血而死的人有什么关系呢，这个人被刺刀直插心脏，而刺入心脏的是这么一封信——","Forms Four, Five, and Six were assembled in the music hall.The noise was deafening.On the platform, by the piano, stood Mary Beazley, Miss Meadows’ favourite, who played accompaniments.She was turning the music stool.When she saw Miss Meadows she gave a loud, warning “Sh—sh! girls!” and Miss Meadows, her hands thrust in her sleeves, the baton under her arm, strode down the centre aisle, mounted the steps, turned sharply, seized the brass music stand, planted it in front of her, and gave two sharp taps with her baton for silence.“Silence, please!Immediately!” and, looking at nobody, her glance swept over that sea of coloured flannel blouses, with bobbing pink faces and hands, quivering butterfly hair-bows, and music-books outspread.She knew perfectly well what they were thinking.“Meady is in a wax.”Well, let them think it!Her eyelids quivered; she tossed her head, defying them.What could the thoughts of those creatures matter to some one who stood there bleeding to death, pierced to the heart, to the heart, by such a letter—"
