"zh","en"
"老秃子","Old Baldy"
"老秃子","Old Baldy"
"作者：杰克·伦敦","by Jack London"
"“我敢说，执事打算要冲老秃子下手了，嗯？”吉姆·惠勒听到这消息开心地咯咯笑了起来，并搓了搓双手。“嗯，或许会发生点什么,”他又接着说，“或许也不会，不过，要是老秃子最后得胜，我倒一点儿也不会觉得意外。”","“I declare! so the deacon’s goin’ to try his hand on Old Baldy, eh?”Jim Wheeler chuckled gleefully at the news, and rubbed his hands.“Wall, mebbe somethin’ ’ll happen,” he went on, “an mebbe it won’t, but I sha’n’t be a mite s’prised if Old Baldy comes out a-top.”"
"“执事可是有着极为强大的意志的。”西姆·格兰姆斯将信将疑地提醒道，“不过，老秃子的意志在村子里也是数一数二的。可牲口毕竟还是牲口，而且……”格兰姆斯正想抛出他头脑中关于人在物质世界里最为优越的某些看法，可就在这时有人打断了他。","“The deacon’s got a right powerful will,” Sim Grimes suggested dubiously.“An’ so has Baldy—powerful’st will in the country, bar none.But critters is critters and—” And Grimes was just preparing to unload his mind of certain ideas concerning man’s primacy in the physical world, when the other cut him short."
"“那我倒要问问你，西姆·格兰姆斯！你可曾听说过老秃子不愿意的时候，有谁让它服了软？塔克、史密斯、约翰逊、奥尔森、奥德伟加上韦尔曼——这一大帮人不都想碰碰运气制服它，可到最后还不是这么算了？那你告诉我，西姆·格兰姆斯——你一生中听没听说过有哪个人或是一群人能让老秃子在打定主意卧下时，乖乖地站立起来？”","“Now jest look here, Sim Grimes!Have you ever hearn tell of one man what limbered up Old Baldy when Old Baldy wa’n’t so minded?There’s Tucker an’ Smith an’ Johnson, an’ Olsen, an’ Ordway an’ Wellman—didn’t the whole caboodle try their luck at breakin’ Old Baldy’s sperrit, an’ didn’t the whole caboodle give it up?Jest tell me this, Sim Grimes—did you ever in yer born days hear on one man or passel of men gittin’ Old Baldy on his feet when he took it into his head to lay down?”"
"“也许你说得对，”西姆·格兰姆斯略表赞同，可是他对执事巴恩斯的信任依旧，于是说道，“可毕竟执事有着极为坚强的意志啊。”","“Mebbe yer right,” Sim Grimes assented mildly, then his old faith in Deacon Barnes returning, “But the deacon’s got a right powerful will.”"
"“但执事巴恩斯还参加了一个反对虐待动物的协会，不是吗？”格兰姆斯点点头。“而且，他也不会赞同拿鞭子抽哑巴牲口的，不是吗？”","“But Deacon Barnes jined a Prevention of Cruelty to Animals society, didn’t he?”Grimes nodded.“An he don’t b’lieve in whippin’ dumb brutes?”"
"“没错。”","“Nope.”"
"“那么，要是老秃子不情愿，他怎么能让它在戈申的田地里乖乖顺从？”","“Then how in the land of Goshen kin he make Old Baldy git up when he ain’t in the mood?”"
"“这我可说不准。”格兰姆斯一边说着，一边驾起马车。　但在他走出人们的听力范围之前，他转过头朝后面喊道：“执事毕竟有着坚强的意志！”","“It’s more’n I kin tell,” Grimes answered, at the same time starting up his horses.But before he was out of earshot he turned and called back, “But the deacon’s got a powerful will!”"
