"en","zh"
"The Deserted Woman ","被遗弃的女人"
"by Honoré de Balzac","作者：巴尔扎克"
"In the early spring of 1822, the Paris doctors sent to Lower Normandy a young man just recovering from an inflammatory complaint, brought on by overstudy, or perhaps by excess of some other kind.","1822年的初春，巴黎的大夫们把一位正从炎症中康复的小伙子送到下诺曼底来，他得这病是由于用功过度，或者其他什么方面的过度劳累。"
"His convalescence demanded complete rest, a light diet, bracing air, and freedom from excitement of every kind, and the fat lands of Bessin seemed to offer all these conditions of recovery.","他的康复需要彻底的休息、清淡的饮食、清新爽人的空气以及避免受各种感情的刺激，而贝桑肥沃的土地似乎为他的康复提供了以上所有的便利条件。"
"To Bayeux, a picturesque place about six miles from the sea, the patient therefore betook himself, and was received with the cordiality characteristic of relatives who lead very retired lives, and regard a new arrival as a godsend.","巴约是一个风景如画的城市，离海约六英里远，于是病人便前往此地。他受到了亲戚们的真挚欢迎，因为亲戚们在那里过着隐居的生活，有人来访不禁喜出望外，将其视为天赐之物。"
"All little towns are alike, save for a few local customs.","除了一些当地风俗不同之外，所有的小镇都是相似的。"
"When M. le Baron Gaston de Nueil, the young Parisian in question, had spent two or three evenings in his cousin’s house, or with the friends who made up Mme. de Sainte-Severe’s circle, he very soon had made the acquaintance of the persons whom this exclusive society considered to be “the whole town.” ","这位年轻的巴黎青年叫加斯东·德纽埃尔。在他表姐德圣塞韦尔夫人的家里，或者在她的那一伙朋友家里度过了两三个晚上之后，他便很快认识了这个僻静社会视为“全镇”代表的头面人物们。"
"Gaston de Nueil recognized in them the invariable stock characters which every observer finds in every one of the many capitals of the little States which made up the France of an older day.","加斯东·德纽埃尔把这些人视为一成不变的人物，任何一个观察者都能够在昔日法国的许多藩候的首府里发现他们。"
"First of all comes the family whose claims to nobility are regarded as incontestable, and of the highest antiquity in the department, though no one has so much as heard of them a bare fifty leagues away.","这些人物中首屈一指的，是在这个省里被认为是无可争辩的贵族阶层，其历史也是源远流长的，虽然50里格之外的人根本就没有听说过他们。"
"This species of royal family on a small scale is distantly, but unmistakably, connected with the Navarreins and the Grandlieu family, and related to the Cadignans, and the Blamont-Chauvrys.","这种小型的皇室家族和纳瓦兰家族、葛朗利厄家族的确有着远亲关系，同卡迪央家族和布拉蒙—绍弗里家族也能沾上关系。"
"The head of the illustrious house is invariably a determined sportsman.","这个望族的首领通常是一位果敢的冒险家。"
"He has no manners, crushes everybody else with his nominal superiority, tolerates the sub-prefect much as he submits to the taxes, and declines to acknowledge any of the novel powers created by the nineteenth century, pointing out to you as a political monstrosity the fact that the prime minister is a man of no birth.","他不懂礼节，经常用这有名无实的姓氏优势来欺压别人，他像容忍捐税一样容忍县官的存在，他对19世纪建立起的新贵势力概不承认，还指出如果首相不是出身贵族，那便是政界的一件怪事。"
"His wife takes a decided tone, and talks in a loud voice.","他的妻子说话斩钉截铁，嗓门很高。"
"She has had adorers in her time, but takes the sacrament regularly at Easter.","她在她的时代虽有很多崇拜者，却从不忘记每到复活节时举行圣礼。"
"She brings up her daughters badly, and is of the opinion that they will always be rich enough with their name.","她不懂得教养女儿，总认为她们只要有了贵族姓氏便会永远富有。"
"Neither husband nor wife has the remotest idea of modern luxury.","丈夫和妻子对于现代的奢侈华贵可谓一无所知。"
"They retain a livery only seen elsewhere on the stage, and cling to old fashions in plate, furniture, and equipages, as in language and manner of life.","他们依然保留着只有在戏台上才能看到的装束，坚持使用老式的餐盘、家具和马车，至于语言和生活习惯，他们也偏爱旧式的。"
"This is a kind of ancient state, moreover, that suits passably well with provincial thrift.","而且，这种古老的排场跟外省的节俭风气也还算搭调。"
"The good folk are, in fact, the lords of the manor of a bygone age, minus the quitrents and heriots, the pack of hounds and the laced coats; full of honor among themselves, and one and all loyally devoted to princes whom they only see at a distance.","事实上，他们这些人是过去时代的领主，只是缺少征收免役税和租地继承税的权利、成群的猎犬以及镶着挂饰的制服罢了；在自己人中间，他们充满荣誉感，所有人都对那些只能远远看着的王公们忠心耿耿。"
"The historical house incognito is as quaint a survival as a piece of ancient tapestry.","就像一条古老的挂毯一样，这个历史上名不见经传的家族保留着古怪的特点。"
"Vegetating somewhere among them there is sure to be an uncle or a brother, a lieutenant-general, an old courtier of the Kings’s, who wears the red ribbon of the order of Saint-Louis, and went to Hanover with the Marechal de Richelieu: and here you will find him like a stray leaf out of some old pamphlet of the time of Louis Quinze.","这个家族里一定出现过一位叔伯或兄弟，官至中将，出入宫廷，身上有圣路易下令佩戴的红丝带，曾经追随黎赛留将军出征汉诺威：在这里，你会发现，他就像路易十五时代某本旧册子上散落下来的一页纸。"
"This fossil greatness finds a rival in another house, wealthier, though of less ancient lineage.","跟这个古董似的家族相对立的是另一个家族，更富有，可世系没那么古老。"
"Husband and wife spend a couple of months of every winter in Paris, bringing back with them its frivolous tone and short-lived contemporary crazes.","丈夫和妻子每年冬天去巴黎度几个月假，然后带回来一些轻浮的腔调和转瞬即逝的流行爱好。"
"Madame is a woman of fashion, though she looks rather conscious of her clothes, and is always behind the mode.","夫人是一位时尚达人，虽然看上去打扮得相当用心，可是总跟不上潮流。"
"She scoffs, however, at the ignorance affected by her neighbors.","但因为受邻居的影响，她还无知地嘲笑别人。"
"Her plate is of modern fashion; she has “grooms,” Negroes, a valet-de-chambre, and what-not.","她的餐具是新式的；她拥有几个“小厮”、几个黑奴、一位男侍从等诸如此类的人。"
"Her oldest son drives a tilbury, and does nothing (the estate is entailed upon him), his younger brother is auditor to a Council of State.","他的长子驾驶一辆二轮轻便马车，无所事事（家族财产由他继承），次子是国务委员会的审理员。"
"The father is well posted up in official scandals, and tells you anecdotes of Louis XVIII. and Madame du Cayla.","父亲对官场黑幕了如指掌，经常谈论路易十八与凯拉尔夫人的轶事。"
"He invests his money in the five per cents, and is careful to avoid the topic of cider, but has been known occasionally to fall a victim to the craze for rectifying the conjectural sums-total of the various fortunes of the department.","他购买五厘公债，谨慎避免有关苹果酒的话题，不过有时怪癖发作起来，就会对更正省内各大亨那被推测出的财产总数表现出狂热的兴趣。"
"He is a member of the Departmental Council, has his clothes from Paris, and wears the Cross of the Legion of Honor.","他是省议会议员之一，衣服都是在巴黎定制，身上还佩戴着荣誉军团十字勋章。"
"In short, he is a country gentleman who has fully grasped the significance of the Restoration, and is coining money at the Chamber, but his Royalism is less pure than that of the rival house; he takes the Gazette and the Debats, the other family only read the Quotidienne.","总之，这位乡绅深知王朝复辟的意义，在议会里也是大发其财，不过他的忠君思想却不及那个敌对家族的那么纯粹；他订阅《法兰西新闻》和《辩论报》，而另一家族却只看《每日新闻》。"
"His lordship the Bishop, a sometime Vicar-General, fluctuates between the two powers, who pay him the respect due to religion, but at times they bring home to him the moral appended by the worthy Lafontaine to the fable of the Ass laden with Relics.","以前的代理主教，也是现在的主教大人，在这两大势力之间摇摆不定。他们因为宗教信仰对他非常尊重，但有时也会向他挑明著名的拉封丹在寓言《驮圣骨的驴子》的末尾所揭示的寓意。"
"The good man’s origin is distinctly plebeian.","这个老好人显然出身平民。"
"Then come stars of the second magnitude, men of family with ten or twelve hundred livres a year, captains in the navy or cavalry regiments, or nothing at all.","接下来是一些二等明星了，他们是每年收入一千到一千两百里弗赫的贵族，有的当过海军上校，有的当过骑兵上尉，有的什么也没当过。"
"Out on the roads, on horseback, they rank half-way between the cure bearing the sacraments and the tax collector on his rounds.","骑马在路上走时，他们的位置处于手捧圣杯的神甫和税务长官之间。"
"Pretty nearly all of them have been in the Pages or in the Household Troops, and now are peaceably ending their days in a faisance-valoir, more interested in felling timber and the cider prospects than in the Monarchy.","几乎所有人都在侍卫队或者皇家军队里接受过训练，现在都悠闲地在自己的田庄里消磨时光，他们更关心木材和苹果酒，而非君主政体。"
"Still they talk of the Charter and the Liberals while the cards are making, or over a game at backgammon, when they have exhausted the usual stock of dots, and have married everybody off according to the genealogies which they all know by heart.","不过，当他们按照已烂熟于心的家谱安排完了每个人的婚事，打着牌或者玩着西洋双陆棋的时候，他们也会聊起宪章和自由党人。"

"Their womenkind are haughty dames, who assume the airs of Court ladies in their basket chaises.","他们的妻子则是些傲慢的女人，在形状像篮子的轻便马车里摆出宫廷贵妇的神态。"
"They huddle themselves up in shawls and caps by way of full dress; and twice a year, after ripe deliberation, have a new bonnet from Paris, brought as opportunity offers.","她们用披肩和帽子胡乱打扮一番，就认为是盛装华服了；一年仅两次，还是经过深思熟虑之后，她们才从巴黎买一顶新帽子，而且要看帽子有没有机会被捎过来。"
"Exemplary wives are they for the most part, and garrulous.","她们大都品行规范、喋喋不休。"
"These are the principal elements of aristocratic gentility, with a few outlying old maids of good family, spinsters who have solved the problem: given a human being, to remain absolutely stationary.","这就是这帮文雅贵族的主要成员，其中有几个出身名门的老处女，她们已经解决了以下问题：作为人类如何保持绝对的静止不变。"
"They might be sealed up in the houses where you see them; their faces and their dresses are literally part of the fixtures of the town, and the province in which they dwell.","她们好像被密封在你见到她们的那所房子里，她们的面孔和服饰已经成为她们所居住的那个镇、那个省的固定成分之一。"
"They are its tradition, its memory, its quintessence, the genius loci incarnate.","她们是该镇和该省的传统、记忆、典范和精神化身。"
"There is something frigid and monumental about these ladies; they know exactly when to laugh and when to shake their heads, and every now and then give out some utterance which passes current as a witticism.","这些女人身上都有些冰冷的、极端的东西；她们清楚地知道应该何时微笑、何时点头，也不时地说出几句被认为俏皮的话。"
"A few rich townspeople have crept into the miniature Faubourg Saint-Germain, thanks to their money or their aristocratic leanings.","依仗着财产或偏向于贵族的政见，一些富有的镇民也混进了这个圣日耳曼区的小贵族圈子。"
"But despite their forty years, the circle still say of them, “Young So-and-so has sound opinions,” and of such do they make deputies.","尽管他们已经四十岁了，圈里人谈起他们时依旧说：“还是那样年轻，还是那样思想有见地。”于是他们被选为议员。"
"As a rule, the elderly spinsters are their patronesses, not without comment.","一般而言，这些老处女是他们的后台，有风言风语也是自然的了。"
"Finally, in this exclusive little set include two or three ecclesiastics, admitted for the sake of their cloth, or for their wit; for these great nobles find their own society rather dull, and introduce the bourgeois element into their drawing-rooms, as a baker puts leaven into his dough.","最后，两三个教士也被接纳到了这个唯我独尊的小圈子里，因为他们的服饰或者才智；这些贵族觉得自己的这个社交圈相当沉闷，所以他们把资产阶级成分带进了客厅，正如面包师要把酵母放到面团里一样。"
"The sum-total contained by all heads put together consists of a certain quantity of antiquated notions; a few new inflections brewed in company of an evening being added from time to time to the common stock.","这些头脑中所堆砌起来的全部思想都是由一定数量的迂腐观念组成的；其中也掺杂着一些新思想，这些思想是在晚上的集会中被不时地添加到这一普通思想库中的。"
"Like sea-water in a little creek, the phrases which represent these ideas surge up daily, punctually obeying the tidal laws of conversation in their flow and ebb; you hear the hollow echo of yesterday, to-day, to-morrow, a year hence, and for evermore.","代表这些观念的语句，正如小海湾中的海水一样每日汹涌澎湃，谈话中严格遵守潮涨潮落的自然法则；你会一直听到空洞的回声，昨天、今天、明天、一年后、永远。"
"On all things here below they pass immutable judgments, which go to make up a body of tradition into which no power of mortal man can infuse one drop of wit or sense.","他们对世事的看法永远不变，这些看法已经形成一套传统，任何人都无权往里注入一丁点儿新思想和新见地。"
"The lives of these persons revolve with the regularity of clockwork in an orbit of use and wont which admits of no more deviation or change than their opinions on matters religious, political, moral, or literary.","这些人的生活在习惯的轨道上规律运转着，正如他们对宗教、政治、道德和文学观念一样，这都是无法背离或变更的。"
"If a stranger is admitted to the cenacle, every member of it in turn will say (not without a trace of irony), “You will not find the brilliancy of your Parisian society here,” and proceed forthwith to criticise the life led by his neighbors, as if he himself were an exception who had striven, and vainly striven, to enlighten the rest.","如果一个外地人被允许进入这个小团体，这里的每个成员就会轮番对他讲（带着嘲讽的意味）：“在这儿你可找不到巴黎社会的光彩。”然后他们便斥责起邻里们的生活方式，似乎他们自己是曾徒劳设法开导大众的例外。"
"But any stranger so ill advised as to concur in any of their freely expressed criticism of each other, is pronounced at once to be an ill-natured person, a heathen, an outlaw, a reprobate Parisian “as Parisians mostly are.”","可一个新来的人如果没脑筋到对他们互相之间的任何自由抨击予以随声附和，那么他就会被马上看成一个坏心眼的人，一个异教徒，一个歹徒，一个堕落的巴黎人——“跟大多数巴黎人一样”。"
"Before Gaston de Nueil made his appearance in this little world of strictly observed etiquette, where every detail of life is an integrant part of a whole, and everything is known; where the values of personalty and real estate is quoted like stocks on the vast sheet of the newspaper—before his arrival he had been weighed in the unerring scales of Bayeusaine judgment.","加斯东·德纽埃尔在这个小小的世界里露面之前，就已经被巴约那不会出错的天平称过斤两了。在这个小小的世界里一切都遵循礼节，生活中每个细节都是必不可少的一部分，任何事都一目了然；所有的动产和不动产都像报纸大幅刊登的债券一样报价。"
"His cousin, Mme. de Sainte-Severe, had already given out the amount of his fortune, and the sum of his expectations, had produced the family tree, and expatiated on the talents, breeding, and modesty of this particular branch.","他的表姐——圣赛韦尔夫人，已经公布了他的财产数字、他的期望所得，也出示了他的家谱，还阐述了他这一支的才干、教养以及谦逊。"
"So he received the precise amount of attentions to which he was entitled; he was accepted as a worthy scion of a good stock; and, for he was but twenty-three, was made welcome without ceremony, though certain young ladies and mothers of daughters looked not unkindly upon him.","因此他受到了他理应得到的众多关注；他被认为是优秀贵族的好苗子；尽管一些少女和几个有女儿的母亲对他钟爱有加，但因为他只有23岁，就没有为他准备欢迎仪式。"
