"zh","en"
"越野滑雪","Cross-Country Snow"
"越野滑雪","Cross-Country Snow "
"作者：欧内斯特·海明威","by Ernest Hemingway"
"缆车又颠簸了一下，然后停了下来。缆车开不过去了，大雪结结实实地堆积在车道上。席卷高山裸露表层的狂风把表面的雪刮成了一层挡风板似的硬壳。尼克正在行李车厢里给他的滑雪板打蜡，他把靴子塞进靴尖铁夹里，然后牢牢地扣上了夹子。他斜着从车厢跳到坚硬的雪壳上，做了一个弹跳旋转，然后弯腰屈膝，撑着滑雪杖迅速滑下了山坡。","The funicular car bucked once more and then stopped.It could not go farther, the snow drifted solidly across the track.The gale scouring the exposed surface of the mountain had swept the snow surface into a wind-board crust.Nick, waxing his skis in the baggage car, pushed his boots into the toe irons and shut the clamp tight.He jumped from the car sideways onto the hard wind-board, made a jump turn and crouching and trailing his sticks slipped in a rush down the slope."
"乔治在下面的白雪中起起落落，然后就不见踪影了。当尼克在起伏很大的山的一侧滑下去时，那急速和突然的猛冲使得尼克忘却了一切，只觉得身体有种奇妙的飞翔和下坠的感觉。他挺起身来了个稍微上滑的姿势，然后他往下滑，往下滑，越滑越快，越滑越快，冲到最后一个陡峭的长坡时，雪似乎从他的脚下掉落了。他向下蹲伏，几乎坐在了滑雪板上，为的是尽量降低重心，而积雪就像沙尘暴一样迎面飞过，他意识到他的速度太快了。但他控制住了速度。他不会失手摔下去的。然而一团被风刮进坑里的松软的雪将他绊倒了。在滑雪板的撞击中，他连翻了几个跟头，感觉自己就像被枪击中的兔子一样。接着便动弹不得了，双腿交叉着，滑雪板朝上竖起，鼻子和耳朵里全是雪。","On the white below George dipped and rose and dipped out of sight.The rush and the sudden swoop as he dropped down a steep undulation in the mountain side plucked Nick’s mind out and left him only the wonderful flying, dropping sensation in his body.He rose to a slight up-run and then the snow seemed to drop out from under him as he went down, down, faster and faster in a rush down the last, long steep slope.Crouching so he was almost sitting back on his skis, trying to keep the center of gravity low, the snow driving like a sand-storm, he knew the pace was too much.But he held it.He would not let go and spill.Then a patch of soft snow, left in a hollow by the wind, spilled him and he went over and over in a clashing of skis, feeling like a shot rabbit, then stuck, his legs crossed, his skis sticking straight up and his nose and ears jammed full of snow."
"乔治在斜坡上稍远的地方，用力拍打着防风衣上的雪。","George stood a little farther down the slope, knocking the snow from his wind jacket with big slaps."
"“你的动作真漂亮，尼克。”他朝尼克喊道，“那糟糕的软绵绵的雪。它同样绊了我一跤。”","“You took a beauty, Nick,” he called to Nick.“That’s lousy soft snow.It bagged me the same way.”"
"“在峡谷滑雪会是怎样的呢？”尼克躺着，将滑雪板踢来踢去，然后站了起来。","“What’s it like over the khud?”Nick kicked his skis around as he lay on his back and stood up."
"“你得靠左滑。因为谷底有栅栏，快速冲下去时得来个高速制动转弯。”","“You’ve got to keep to your left.It’s a good fast drop with a Christy at the bottom on account of a fence.”"
"“等一下，咱们一起去滑。”","“Wait a sec and we’ll take it together.”"
