"zh","en"
"欧仁妮 葛朗台","Eugenie Grandet"
"第一章","Chapter I"
"在外省的某些城镇，有些房屋的样子让人觉得凄凉，类似于昏暗的修道院、萧索的旷野或荒芜的废墟给人的感觉。也许，在这些房子里，修道院的寂静、旷野的荒芜和废墟的凋败都兼而有之。里面的生活起居是如此沉寂，要不是突然看见窗口有个面孔像修道士的人，一动不动，一听到陌生的脚步声，就会目光暗淡、冷漠地朝窗外瞥上一眼的话，外地人会以为那是些无人居住的空宅。","There are houses in certain provincial towns whose aspect inspires melancholy, akin to that called forth by sombre cloisters, dreary moorlands, or the desolation of ruins.Within these houses there is, perhaps, the silence of the cloister, the barrenness of moors, the skeleton of ruins; life and movement are so stagnant there that a stranger might think them uninhabited, were it not that he encounters suddenly the pale, cold glance of a motionless person, whose half-monastic face peers beyond the window-casing at the sound of an unaccustomed step."
"可以说，索米尔一所住宅的外观就带有这种悲凉的成分，它坐落在一条陡直的街道尽头，那条街道通向城市高处的古堡。这条街道——如今已行人稀少，夏天炎热，冬天寒冷，某些地段很阴暗——很有特点：有回声的小石子路，总是洁净干爽；狭窄的街道弯弯曲曲；街边的房屋属于老城区，低卧在城墙脚下，非常幽静。三百年之久的房屋虽是木质结构，却依然坚固。其形式各异的外观别有风格，使得索米尔城的这个区域颇受艺术家和古董商的青睐。","Such elements of sadness formed the physiognomy, as it were, of a dwelling-house in Saumur which stands at the end of the steep street leading to the chateau in the upper part of the town.This street—now little frequented, hot in summer, cold in winter, dark in certain sections—is remarkable for the resonance of its little pebbly pavement, always clean and dry, for the narrowness of its tortuous road-way, for the peaceful stillness of its houses, which belong to the old town and are over-topped by the ramparts.Houses three centuries old are still solid, though built of wood, and their divers aspects add to the originality which commends this portion of Saumur to the attention of artists and antiquaries."
"经过这些房屋时，很难不去赞叹那些巨大的栎木横梁，它们的两头被雕成奇特的造型，它们和一条黑色的浅浮雕一起覆盖在多数房屋的底层顶端。在某个地方，这些横木上盖着石板，在房子不大结实的墙上勾出一道淡蓝色的线条，其木柱支撑的屋顶因年久而被压弯，腐朽的墙面板由于日晒雨淋的交替作用也已经扭曲变形。在另一个地方，破旧的窗台发了黑，上面精巧的雕刻现在已模糊难辨，显得非常不结实，似乎都承受不住某个贫苦女工放上去的栽着心安草或是蔷薇丛的棕色陶盆。再往远处，是些镶着硕大钉子的门，上面有我们的天才祖先们留下的家传象形文字，文字的意义现在是永远无法知晓了。有的是一个新教徒在证明他的信仰；有的是反新教盟员在诅咒亨利四世；还有的则是某个资产阶级刻下的钟形贵族徽章，以彰显他早已被人遗忘的当过地方长官的荣耀。法国的整部历史都在这里。","It is difficult to pass these houses without admiring the enormous oaken beams, their ends carved into fantastic figures, which crown with a black bas-relief the lower floor of most of them.In one place these transverse timbers are covered with slate and mark a bluish line along the frail wall of a dwelling covered by a roof @en colombage@ which bends beneath the weight of years, and whose rotting shingles are twisted by the alternate action of sun and rain.In another place blackened, worn-out window-sills, with delicate sculptures now scarcely discernible, seem too weak to bear the brown clay pots from which springs the heart’s-ease or the rose-bush of some poor working-woman.Farther on are doors studded with enormous nails, where the genius of our forefathers has traced domestic hieroglyphics, of which the meaning is now lost forever.Here a Protestant attested his belief; there a Leaguer cursed Henry IV.; elsewhere some bourgeois has carved the insignia of his @noblesse de cloches@, symbols of his long-forgotten magisterial glory.The whole history of France is there."
"一幢墙壁被粉刷得很粗糙的摇摇晃晃的房屋俨然成了工匠卖弄手艺的地方。旁边矗立着一位乡绅的宅邸，门楣石拱上的贵族徽章，历经一七八九年以来席卷法国的数次大革命的摧残，其遗迹仍依稀可辨。在这条坡势很陡的街道上，商铺的底层既不是商店，也不是仓库，喜欢中世纪的人会发现，这里就像我们祖先的缝纫工场一样，保持着古朴简易的风貌。这些低矮的房屋没有门面，也没有橱窗，实际上一块玻璃都没装，它们进深长，而且阴暗，里外都没有任何装饰。房门分成两截开，每一截都简陋地包着铁皮，上半截固定住往屋里开，下半截装有弹簧门铃，不断地来回开进开出。空气和光线从门的上半截，或是从屋顶和齐胸高的低矮前墙之间的空隙透进那潮湿的小屋子。前墙上封着结实的百叶窗，每天早晨卸下，夜晚装上，并用粗重的铁条固定住。","Next to a tottering house with roughly plastered walls, where an artisan enshrines his tools, rises the mansion of a country gentleman, on the stone arch of which above the door vestiges of armorial bearings may still be seen, battered by the many revolutions that have shaken France since 1789.In this hilly street the ground-floors of the merchants are neither shops nor warehouses; lovers of the Middle Ages will here find the @ouvrouere @of our forefathers in all its naive simplicity.These low rooms, which have no shop-frontage, no show-windows, in fact no glass at all, are deep and dark and without interior or exterior decoration.Their doors open in two parts, each roughly iron-bound; the upper half is fastened back within the room, the lower half, fitted with a spring-bell, swings continually to and fro.Air and light reach the damp den within, either through the upper half of the door, or through an open space between the ceiling and a low front wall, breast-high, which is closed by solid shutters that are taken down every morning, put up every evening, and held in place by heavy iron bars."
"这堵墙用来作陈列商品的柜台。这里绝无任何哄骗人的招数，只摆着货物样品，不管卖的是什么货——比如说，满满三四桶鳕鱼和盐、几捆帆布、绳索、吊在托梁上的铜丝、沿墙摆放的木桶铁箍，或者是摆在架子上的几块布料。顾客推门进来。一个整洁的姑娘年轻亮丽，头戴白色方巾，赤裸的胳膊通红，她放下手里的毛线活，唤来她的父亲或是母亲，他们中的一位会上前卖给你想要的东西，也许是两个苏的买卖，也许是两万法郎的生意，他们的态度或者冷淡，或者殷勤，或者傲慢，全看他或她的个性了。你可能会看到一个箍桶匠，比如说，正坐在门口，绕着他的大拇指跟一个邻居聊天。表面上，他只有少得可怜的酒瓶架和两三捆板条，但是在下面的码头里，他的木材场堆满了货，足以供应整个安茹的桶匠业。他知道如果葡萄酒丰产，会需要多少木桶，乃至多少板材。炎热的季节会让他发财，阴雨的季节会让他亏本；仅一个早上，酒桶的价钱可能会从十一法郎跌至六法郎。这个地方和图赖讷一样，天气的变化无常左右着商业的行情。种葡萄的人、有田产的人、木材商、箍桶匠、客栈老板、水手，都盼着出太阳。晚上睡觉时他们忐忑不安，唯恐早上会听说夜里起了霜；他们怕雨、怕风、怕旱，希望雨水、温度和云雾都能符合他们的愿望。在天公和他们这些凡人的利益之间是没完没了的斗争。晴雨表让他们的表情变来变去，他们时而欣慰，时而忧伤，时而快乐。这条街道从前是索米尔大街，从街头到街尾，“金子般的好天气”这句话会挨家挨户地传；有时每个人都会对他的邻居大声说：","This wall serves as a counter for the merchandise.No delusive display is there; only samples of the business, whatever it may chance to be,—such, for instance, as three or four tubs full of codfish and salt, a few bundles of sail-cloth, cordage, copper wire hanging from the joists above, iron hoops for casks ranged along the wall, or a few pieces of cloth upon the shelves.Enter.A neat girl, glowing with youth, wearing a white kerchief, her arms red and bare, drops her knitting and calls her father or her mother, one of whom comes forward and sells you what you want, phlegmatically, civilly, or arrogantly, according to his or her individual character, whether it be a matter of two sous’ or twenty thousand francs’ worth of merchandise.You may see a cooper, for instance, sitting in his doorway and twirling his thumbs as he talks with a neighbor.To all appearance he owns nothing more than a few miserable boat-ribs and two or three bundles of laths; but below in the port his teeming wood-yard supplies all the cooperage trade of Anjou.He knows to a plank how many casks are needed if the vintage is good.A hot season makes him rich, a rainy season ruins him; in a single morning puncheons worth eleven francs have been known to drop to six.In this country, as in Touraine, atmospheric vicissitudes control commercial life.Wine-growers, proprietors, wood-merchants, coopers, inn-keepers, mariners, all keep watch of the sun.They tremble when they go to bed lest they should hear in the morning of a frost in the night; they dread rain, wind, drought, and want water, heat, and clouds to suit their fancy.A perpetual duel goes on between the heavens and their terrestrial interests.The barometer smooths, saddens, or makes merry their countenances, turn and turn about.From end to end of this street, formerly the Grand’Rue de Saumur, the words: “Here’s golden weather,” are passed from door to door; or each man calls to his neighbor: "
"“老天下金路易了。”他们很清楚一缕阳光或者一场及时雨会带来什么样的好处。","“It rains louis,” knowing well what a sunbeam or the opportune rainfall is bringing him."
"天气晴朗的季节，到了星期六的午后，就别想从这些优秀的商人手中买到哪怕一个苏的商品。他们每个人都有自己的葡萄园和一片园地，而且全要在乡下呆上两天。这一切都事先算计好了，买进、卖出和利润都已经做了预算，商人们足可以花十或十二个小时欢聚、谈天说地、评头论足、不停地打探别人的隐私。一个主妇买了山鹑，邻居们就会问她丈夫山鹑是否烧到了火候。一个年轻姑娘把头靠近窗户，这绝不会逃过街上闲人的眼睛。道德良知暴露在光天化日之下，就像那些房子，虽然表面阴暗、寂静、无从窥视，却藏不了什么秘密。生活几乎全部在露天下，每家每户都会坐在自家门槛上，在那里吃早饭、吃晚饭，还吵架拌嘴。没有人能从大街上走一遭而不被人评头论足的。实际上，从前每当一个外乡人进了一个外省的城镇，总会到处被人戏耍捉弄。由此便有了许多有趣的故事，而绰号“丰富的”就被加到了昂热居民的头上，他们对这种市井的嘲讽挖苦很拿手。","On Saturdays after midday, in the fine season, not one sou’s worth of merchandise can be bought from these worthy traders.Each has his vineyard, his enclosure of fields, and all spend two days in the country.This being foreseen, and purchases, sales, and profits provided for, the merchants have ten or twelve hours to spend in parties of pleasure, in making observations, in criticisms, and in continual spying.A housewife cannot buy a partridge without the neighbors asking the husband if it were cooked to a turn.A young girl never puts her head near a window that she is not seen by idling groups in the street.Consciences are held in the light; and the houses, dark, silent, impenetrable as they seem, hide no mysteries.Life is almost wholly in the open air; every household sits at its own threshold, breakfasts, dines, and quarrels there.No one can pass along the street without being examined; in fact formerly, when a stranger entered a provincial town he was bantered and made game of from door to door.From this came many good stories, and the nickname @copieux@, which was applied to the inhabitants of Angers, who excelled in such urban sarcasms."
"索米尔旧城的古老宅邸都在这条陡街的高处，从前是贵族居住区。以下历史事件就发生在其中一座凄凉的宅子里——可谓珍贵的百年历史遗迹，其中的人和物带有简单纯朴的特点，这正是法兰西的风俗习性日渐失去的东西。沿着这条风景如画的大街蜿蜒而上，其曲折幽回会勾起某些回忆，使人的思绪不由自主地陷入遐想之中，然后你会看到一个有点黑暗的幽深处，中间藏着葛朗台先生府邸的大门。如果不介绍一下葛朗台先生的身世，是不可能明白这个外省词语——葛朗台先生的府邸——有多大的分量。","The ancient mansions of the old town of Saumur are at the top of this hilly street, and were formerly occupied by the nobility of the neighborhood.The melancholy dwelling where the events of the following history took place is one of these mansions,—venerable relics of a century in which men and things bore the characteristics of simplicity which French manners and customs are losing day by day.Follow the windings of the picturesque thoroughfare, whose irregularities awaken recollections that plunge the mind mechanically into reverie, and you will see a somewhat dark recess, in the centre of which is hidden the door of the house of Monsieur Grandet.It is impossible to understand the force of this provincial expression—the house of Monsieur Grandet—without giving the biography of Monsieur Grandet himself."
