"zh","en"
"沙漠里的爱情","A Passion in the Desert"
"沙漠里的爱情","A Passion In The Desert"
"作者：巴尔扎克","by Honore de Balzac"
"“整场表演太恐怖了！”她喊着，走出了马丁先生的动物展览馆。她刚才一直在观看那个大胆的艺人——用广告上的话说——就是“与鬣狗共舞”。","“The whole show is dreadful,” she cried coming out of the menagerie of M. Martin.She had just been looking at that daring speculator “working with his hyena,”—to speak in the style of the programme."
"“他用什么方法，”她继续说，“竟能把这些动物驯化得这么好，都能懂得它们的感情了——”","“By what means,” she continued, “can he have tamed these animals to such a point as to be certain of their affection for—”"
"“你觉得奇怪的东西，”我打断她的话说，“其实再自然不过了。”","“What seems to you a problem,” said I, interrupting, “is really quite natural.”"
"“哦！”她喊道，嘴上露出不以为然的笑容。","“Oh!” she cried, letting an incredulous smile wander over her lips."
"“你以为野兽是完全没有情感的吗？”我问她。","“You think that beasts are wholly without passions?” I asked her."
"“恰恰相反，我们可以把我们自己文明形态中所有的恶习教给它们。”","“Quite the reverse; we can communicate to them all the vices arising in our own state of civilization.”"
"她惊讶地看着我。","She looked at me with an air of astonishment."
"“但是，”我继续说，“我承认，第一次看到马丁先生的演出时，我和你一样惊讶地大喊了起来。当时，我发现坐在我身旁的是一位和我一起入场的老兵，他的右腿已经截肢了。他的脸给我留下了很深的印象。他像许许多多的英雄一样，长着这样的脑袋：上面烙着战役的痕迹，也留着拿破仑历次战役的记录。而且，他性格直爽、开朗，这种性格总会给我留下良好的印象。他无疑是那种无所畏惧的士兵，什么事都不会令他惊奇，从同伴临死前的惨状中都能找到笑料。他会很高兴地掩埋同伴的尸体、脱掉同伴的衣服。即使是在枪林弹雨中，他也毫不畏惧。事实上，他做事从不三思，会不假思索地与魔鬼做朋友。动物展览馆的老板从兽房中走了出来，我的同伴对他仔细打量了一番后，就撅起嘴唇，面部极具表现力地扭曲着，显出一丝蔑视和嘲讽的神情。只有高人一等者才会这样意味深长地撅着嘴，说明自己没有上当。所以，当我滔滔不绝地谈论马丁先生是如何有勇气的时候，他一边笑着，一边知情一般地摇着头，说道：‘不稀奇。’","“But,” I continued, “the first time I saw M. Martin, I admit, like you, I did give vent to an exclamation of surprise.I found myself next to an old soldier with the right leg amputated, who had come in with me.His face had struck me.He had one of those heroic heads, stamped with the seal of warfare, and on which the battles of Napoleon are written.Besides, he had that frank, good-humored expression which always impresses me favorably.He was without doubt one of those troopers who are surprised at nothing, who find matter for laughter in the contortions of a dying comrade, who bury or plunder him quite light-heartedly, who stand intrepidly in the way of bullets;—in fact, one of those men who waste no time in deliberation, and would not hesitate to make friends with the devil himself.After looking very attentively at the proprietor of the menagerie getting out of his box, my companion pursed up his lips with an air of mockery and contempt, with that peculiar and expressive twist which superior people assume to show they are not taken in.Then, when I was expatiating on the courage of M. Martin, he smiled, shook his head knowingly, and said,‘Well known.’"
"‘为什么“不稀奇”？’我问道，‘如果你把这个秘密告诉我，我会感激不尽。’","‘How “well known”?’ I said.‘If you would only explain me the mystery, I should be vastly obliged.’"
"“几分钟后，我们就很熟了，之后就一起走进了第一个引起我们注意的餐馆。吃甜食的时候，他喝了一瓶香槟酒，这让他的头脑完全清晰起来，并勾起了对这个古怪老兵的回忆。他向我讲述了他的故事，我明白了当他喊出‘不稀奇’的时候，他是有理由的。”","“After a few minutes, during which we made acquaintance, we went to dine at the first restauranteur’s whose shop caught our eye.At dessert a bottle of champagne completely refreshed and brightened up the memories of this odd old soldier.He told me his story, and I saw that he was right when he exclaimed, ‘Well known.’”"
"回家后，她就一直挑逗我，这实在太有魅力，而且她还承诺了我很多事，我只好答应把那个老士兵的秘密告诉她。第二天她就收到了下面这篇文章，这只是一部史诗中的一段插曲，我们可以将其命名为《法国人在埃及》。","When she got home, she teased me to that extent, was so charming, and made so many promises, that I consented to communicate to her the confidences of the old soldier.Next day she received the following episode of an epic which one might call “The French in Egypt.”"
"故事是这样的：在德塞将军率部远征上埃及时，一个来自普罗旺斯的士兵落入了马格里布人的手中，被这些阿拉伯人带到远离尼罗河瀑布的一处沙漠里。","During the expedition in Upper Egypt under General Desaix, a Provencal soldier fell into the hands of the Maugrabins, and was taken by these Arabs into the deserts beyond the falls of the Nile."
"马格里布人为了与法国军队拉开足够的距离，一路强行军，只有到了夜里才休息。他们在一口被几棵棕榈树掩映的水井周围扎营，树下埋藏着许多他们事先准备好的食物。他们没有想到那个俘虏会产生逃跑的念头，认为绑住他的双手就没事了。于是，他们吃了些枣，给马喂了些粮草后，就睡下了。","In order to place a sufficient distance between themselves and the French army, the Maugrabins made forced marches, and only halted when night was upon them.They camped round a well overshadowed by palm trees under which they had previously concealed a store of provisions.Not surmising that the notion of flight would occur to their prisoner, they contented themselves with binding his hands, and after eating a few dates, and giving provender to their horses, went to sleep."
"勇敢的普罗旺斯人见敌人不再监视他了，就用牙齿偷偷地衔起一把弯刀，用双膝夹住刀刃，切断绑住双手的绳索，立刻就重获自由了。他迅速抓起一支步枪和一把匕首。为了以防万一，他又拿了一袋干枣、一些燕麦、一些火药和子弹。他在腰间系了一把弯刀，跳上一匹马，就朝着他认为能找到法国军队的方向飞奔而去。他回营的心情十分急切，拼命催促早已疲惫不堪的马。最后，可怜的牲畜被他的靴刺扎得两肋俱裂，一命呜呼了，将法国人一人留在了沙漠之中。作为一个逃犯，士兵拿出了所有的勇气。在沙漠里步行一段时间后，他不得不停下，因为天已经黑了。尽管东方的夜空很美，但是他感觉自己再也没有力量继续前进了。幸运的是，他发现了一个小山丘，山丘的顶上长着几棵直冲云霄的棕榈树。远远看去，一片翠绿，这给他的心灵带来了希望和安慰。他太累了，立马躺在了一块形状怪异、很像行军床的花岗岩上。他没有采取任何预防措施来保卫自己，就酣然入睡了。他已经把生命都赌上了。他最后的想法就是后悔。他后悔自己离开那些马格里布人，那些人的游牧生活仿佛正在向他微笑，但他现在离他们那么遥远，得不到一点帮助。他被太阳晒醒，无情的日光强烈地直射在花岗岩上，热得让人难以忍受——他本应该睡在棕榈树那翠绿、高昂的树冠投下的浓密阴影里，但是他睡的方向反了。他望着这些孤零零的树，身体发起抖来——这些树让他回忆起了阿尔勒的大教堂中那优美的柱子。这些柱子顶部装饰着叶子，带着萨拉森圆柱的特色。","When the brave Provencal saw that his enemies were no longer watching him, he made use of his teeth to steal a scimiter, fixed the blade between his knees, and cut the cords which prevented him from using his hands; in a moment he was free.He at once seized a rifle and a dagger, then taking the precautions to provide himself with a sack of dried dates, oats, and powder and shot, and to fasten a scimiter to his waist, he leaped on to a horse, and spurred on vigorously in the direction where he thought to find the French army.So impatient was he to see a bivouac again that he pressed on the already tired courser at such speed, that its flanks were lacerated with his spurs, and at last the poor animal died, leaving the Frenchman alone in the desert.After walking some time in the sand with all the courage of an escaped convict, the soldier was obliged to stop, as the day had already ended.In spite of the beauty of an Oriental sky at night, he felt he had not strength enough to go on.Fortunately he had been able to find a small hill, on the summit of which a few palm trees shot up into the air; it was their verdure seen from afar which had brought hope and consolation to his heart.His fatigue was so great that he lay down upon a rock of granite, capriciously cut out like a camp-bed; there he fell asleep without taking any precaution to defend himself while he slept.He had made the sacrifice of his life.His last thought was one of regret.He repented having left the Maugrabins, whose nomadic life seemed to smile upon him now that he was far from them and without help.He was awakened by the sun, whose pitiless rays fell with all their force on the granite and produced an intolerable heat—for he had had the stupidity to place himself adversely to the shadow thrown by the verdant majestic heads of the palm trees.He looked at the solitary trees and shuddered—they reminded him of the graceful shafts crowned with foliage which characterize the Saracen columns in the cathedral of Arles."
