"zh","en"
"老姑娘","An Old Maid"
"第一章 诸多德瓦卢瓦骑士中的一位","CHAPTER I ONE OF MANY CHEVALIERS DE VALOIS"
"在法国的一些外省，大多数人都曾遇到过一些叫德瓦卢瓦骑士的人。曾有一位德瓦卢瓦骑士居住在诺曼底，一位居住在布尔日，还有一位闻名于阿郎松（我们主要谈这位），毫无疑问在法国南部还有其他的叫德瓦卢瓦骑士。然而，至于瓦卢瓦部族有多少人，与我们现在所要说的故事无关。在这些骑士中，肯定有一些是瓦卢瓦部族的人，正如路易十四是波旁家族的人一样。而这些骑士彼此都不大认识，因此不宜和其中一位谈起其他的骑士。这些骑士们都乐于让波旁家族安安稳稳地掌控法国的王位，因为作为奥尔良家族中第一分支的瓦卢瓦家族没有子嗣来继承王位，所以让亨利四世登上王位也是顺理成章的。而现在但凡有个姓瓦卢瓦的人，其祖先都是查理九世和玛丽·图谢之子——安古莱姆公爵，查理·德瓦卢瓦。据说从查理·德瓦卢瓦开始断了子嗣，直到后来在德罗特兰神父身上找到了相反的证据，才弄清真相。","Most persons have encountered, in certain provinces in France, a number of Chevaliers de Valois.One lived in Normandy, another at Bourges, a third (with whom we have here to do) flourished in Alencon, and doubtless the South possesses others.The number of the Valesian tribe is, however, of no consequence to the present tale.All these chevaliers, among whom were doubtless some who were Valois as Louis XIV. was Bourbon, knew so little of one another that it was not advisable to speak to one about the others.They were all willing to leave the Bourbons in tranquil possession of the throne of France; for it was too plainly established that Henri IV. became king for want of a male heir in the first Orleans branch called the Valois.If there are any Valois, they descend from Charles de Valois, Duc d’Angouleme, son of Charles IX. and Marie Touchet, the male line from whom ended, until proof to the contrary be produced, in the person of the Abbe de Rothelin."
"瓦卢瓦—圣雷米家族是亨利二世的后代，这一家族到了拉莫特—瓦卢瓦手里，也断了子嗣。这个拉莫特—瓦卢瓦因牵涉到“钻石项链事件”而臭名昭著。如果消息可靠的话，那上述这些骑士中的每一位都和阿郎松的瓦卢瓦骑士一样，是个高瘦、干瘪、囊中羞涩的老贵族。布尔日的那位骑士已流亡国外，都兰的那位则销声匿迹，阿郎松的那位在旺代地区打过仗，算是个“舒昂党”。这位阿郎松骑士的青年时代是在巴黎度过的。在他三十而立、风华正茂、情场得意之时，却突然爆发了法国大革命。外省的高等贵族都承认他是一位真正的瓦卢瓦家族骑士。而他也与其他同姓的人一样，举止优雅、超凡脱俗，表明自己是个出身高贵之人。他每日都在外面吃饭，每晚都要玩牌赌博。他有一个小缺点，就是喜欢大谈特谈关于路易十五统治时代和大革命初期的各类传闻轶事；而正因为这点，人们都认为他很机智风趣。人们第一次听到这些小故事的时候，都会觉得他讲得非常生动。并且，这位瓦卢瓦骑士最大的优点就是说瓦式俏皮话从不重复，也从来不会谈起自己的情史，但他的笑容和装腔作势的姿态则泄露出令人欢欣的秘密。这位可敬的先生享有伏尔泰贵族的特权，从不去教堂做弥撒。而由于他对于王室事业的忠诚，人们也就格外纵容他漠视宗教的行为了。他特别有风度的一个优雅动作，就是从他的金色鼻烟盒里取鼻烟的姿态（肯定是模仿莫尔的）。那鼻烟盒上面装饰着戈里扎公主的肖像，她是一位充满魅力的匈牙利公主，在路易十五统治末期以美貌而闻名。他年轻时曾迷恋过这位大名鼎鼎的异域名媛，如今谈起她时仍感触颇深。为了她，他还与德洛赞先生决斗过。如今他已经五十八岁了，却只承认自己五十岁。而他的清瘦干瘪的身材也确实当得起这无伤大雅的谎言。因为清瘦之人天生就具有许多长处，其中之一便是让人显得年轻，不论是男人还是女人。这位瓦卢瓦骑士就仍保有他年轻的身段。对了，记住这点：全部生命力，或者说所有表现生命力的优雅姿态，都在于身材。骑士拥有的其他宝贵财富还必须要算上造物主赋予他的大鼻子。他的鼻子将他苍白的脸截然分成两部分，这两部分似乎毫无联系。在进行消化工作的时候，半边脸发红，而另半边脸仍是苍白的。在生理学着重研究人类心脏的时代，这件事就很值得一提。火热的部分（就这样描述吧）是在他面部的左侧。虽然德瓦卢瓦先生双腿细长、体形瘦削、皮肤苍白，看上去好像身体不怎么健康，但却食量惊人。他声称自己患有外省所谓的“肝热”病，也许是为了给自己奇大的胃口找个借口吧。单单半边脸发红的情况算是能证实他的说法，但是在一个一顿饭包含三十或四十道菜、时间长达四小时的地方，骑士的胃似乎是上天给予阿郎松这座城市的赏赐。根据某些医生的说法，左脸发热意味着人心轻浮。骑士的风流艳史证实了这一科学论断，幸好史学家不用对这些论断负责。尽管有这些症状，德瓦卢瓦先生依然精力充沛，必是长命之人。如果他的“肝火旺”，用一句老话说，他的心火也不会弱。虽然他的脸上已经有了皱纹，头发也已花白，但是有眼力的人应该能立刻看出激情留下的痕迹和因欢愉而产生的皱纹，这些出现在眼角的鱼尾纹和出现在额头上的“宫殿台阶”皱纹在西岱尔宫中是很受赏识的。关于这位高雅骑士的一切都显示出他是一位“讨女人喜欢的男人”。他对待梳洗细致入微，以至于他的双颊令人赏心悦目，仿佛在仙水中浸洗过一般。他那头发遮盖不住的光头部分有如象牙般闪闪发亮。他的眉毛和他的头发一样，都是受到定期精心梳理的，显得很年轻。他本来就很白的皮肤似乎用了什么密招，变得更加白皙了。即使不用香水，骑士身上也散发出一种青春的芳香，令周围的空气变得清爽。他那双绅士的手保养得如同漂亮女士的手一般，修剪整齐红润的指甲引人注目。总之，要不是那个奇大的鼻子，人们会觉得他长得有点过分精致了。","The Valois-Saint-Remy, who descended from Henri II., also came to an end in the famous Lamothe-Vois implicated in the affair of the Diamond Necklace.Each of these many chevaliers, if we may believe reports, was, like the Chevalier of Alencon, an old gentleman, tall, thin, withered, and moneyless.He of Bourges had emigrated; he of Touraine hid himself; he of Alencon fought in La Vendee and “chouanized” somewhat.The youth of the latter was spend in Paris, where the Revolution overtook him when thirty years of age in the midst of his conquests and gallantries.The Chevalier de Valois of Alencon was accepted by the highest aristocracy of the province as a genuine Valois; and he distinguished himself, like the rest of his homonyms, by excellent manners, which proved him a man of society.He dined out every day, and played cards every evening.He was thought witty, thanks to his foible for relating a quantity of anecdotes on the reign of Louis XV. and the beginnings of the Revolution.When these tales were heard for the first time, they were held to be well narrated.He had, moreover, the great merit of not repeating his personal bons mots and of never speaking of his love-affairs, though his smiles and his airs and graces were delightfully indiscreet.The worthy gentleman used his privilege as a Voltairean noble to stay away from mass; and great indulgence was shown to his irreligion because of his devotion to the royal cause.One of his particular graces was the air and manner (imitated, no doubt, from Mole) with which he took snuff from a gold box adorned with the portrait of the Princess Goritza,—a charming Hungarian, celebrated for her beauty in the last years of the reign of Louis XV. Having been attached during his youth to that illustrious stranger, he still mentioned her with emotion.For her sake he had fought a duel with Monsieur de Lauzun.The chevalier, now fifty-eight years of age, owned to only fifty; and he might well allow himself that innocent deception, for, among the other advantages granted to fair thin persons, he managed to preserve the still youthful figure which saves men as well as women from an appearance of old age.Yes, remember this: all of life, or rather all the elegance that expresses life, is in the figure.Among the chevalier’s other possessions must be counted an enormous nose with which nature had endowed him.This nose vigorously divided a pale face into two sections which seemed to have no knowledge of each other, for one side would redden under the process of digestion, while the other continued white.This fact is worthy of remark at a period when physiology is so busy with the human heart.The incandescence, so to call it, was on the left side.Though his long slim legs, supporting a lank body, and his pallid skin, were not indicative of health, Monsieur de Valois ate like an ogre and declared he had a malady called in the provinces “hot liver,” perhaps to excuse his monstrous appetite.The circumstance of his singular flush confirmed this declaration; but in a region where repasts are developed on the line of thirty or forty dishes and last four hours, the chevalier’s stomach would seem to have been a blessing bestowed by Providence on the good town of Alencon.According to certain doctors, heat on the left side denotes a prodigal heart.The chevalier’s gallantries confirmed this scientific assertion, the responsibility for which does not rest, fortunately, on the historian.In spite of these symptoms, Monsieur de Valois’ constitution was vigorous, consequently long-lived.If his liver “heated,” to use an old-fashioned word, his heart was not less inflammable.His face was wrinkled and his hair silvered; but an intelligent observer would have recognized at once the stigmata of passion and the furrows of pleasure which appeared in the crow’s-feet and the marches-du-palais, so prized at the court of Cythera.Everything about this dainty chevalier bespoke the “ladies’ man.”He was so minute in his ablutions that his cheeks were a pleasure to look upon; they seemed to have been laved in some miraculous water.The part of his skull which his hair refused to cover shone like ivory.His eyebrows, like his hair, affected youth by the care and regularity with which they were combed.His skin, already white, seemed to have been extra-whitened by some secret compound.Without using perfumes, the chevalier exhaled a certain fragrance of youth, that refreshed the atmosphere.His hands, which were those of a gentleman, and were cared for like the hands of a pretty woman, attracted the eye to their rosy, well-shaped nails.In short, had it not been for his magisterial and stupendous nose, the chevalier might have been thought a trifle too dainty."
"在此，我们必须承认一件小事，逼迫自己破坏这个肖像。骑士的耳朵里塞了棉花，耳朵上挂着两个小耳环，是钻石制成的黑人头像，做工十分精细。他一直保留着这副耳环，还说自从打了耳洞之后就不再头痛了（他曾经患头痛病）。我们并不是说这位骑士是完美之人，但是，在这样一位心脏将大量血液输送到左脸的老光棍身上，人们或许会从他某些神圣的秘史中发现这些可人的品质，对此我们当然能够宽容以待。","We must here compel ourselves to spoil this portrait by the avowal of a littleness.The chevalier put cotton in his ears, and wore, appended to them, two little ear-rings representing negroes’ heads in diamonds, of admirable workmanship.He clung to these singular appendages, explaining that since his ears had been bored he had ceased to have headaches (he had had headaches).We do not present the chevalier as an accomplished man; but surely we can pardon, in an old celibate whose heart sends so much blood to his left cheek, these adorable qualities, founded, perhaps, on some sublime secret history."
"此外，德瓦卢瓦骑士在其他很多方面都表现得优雅非凡，足以弥补社交界对那副黑人头耳环的看法。他确实煞费苦心地隐瞒自己的真实年纪并极力讨好他的朋友们。首先，我们必须指出，他对他的亚麻衬衣极为讲究。如今，有教养之人在衣着方面只能通过衬衣来彰显自己与众不同了。骑士的衬衣总是精致而洁白，贵族气派十足。至于他的外套，尽管干净异常，却总是旧的，但不会有污迹和褶子。骑士对其衣物的寒酸无动于衷，对于注意到这一点的人来说，他保存衣物的方法十分不可思议。骑士虽不至于用玻璃片刮衣服的接缝处——这是威尔士亲王发明的衣物改良法，但他的确效仿了英国上流社会的基本原则，并且自我感觉良好，但阿郎松的人却不大理解。社交界真得感谢那些对其如此用心的人。这种做法的确是实践了《圣经》中最困难的训诫，即以德报怨。沐浴过后神清气爽，再加上所有其他精心的装扮，都与这位老骑士的蓝色眼睛、象牙般的牙齿和金黄色的头发相得益彰。","Besides, the Chevalier de Valois redeemed those negroes’ heads by so many other graces that society felt itself sufficiently compensated.He really took such immense trouble to conceal his age and give pleasure to his friends.In the first place, we must call attention to the extreme care he gave to his linen, the only distinction that well-bred men can nowadays exhibit in their clothes.The linen of the chevalier was invariably of a fineness and whiteness that were truly aristocratic.As for his coat, though remarkable for its cleanliness, it was always half worn-out, but without spots or creases.The preservation of that garment was something marvellous to those who noticed the chevalier’s high-bred indifference to its shabbiness.He did not go so far as to scrape the seams with glass,—a refinement invented by the Prince of Wales; but he did practice the rudiments of English elegance with a personal satisfaction little understood by the people of Alencon.The world owes a great deal to persons who take such pains to please it.In this there is certainly some accomplishment of that most difficult precept of the Gospel about rendering good for evil.This freshness of ablution and all the other little cares harmonized charmingly with the blue eyes, the ivory teeth, and the blond person of the old chevalier."
"唯一美中不足的是这位退休的美少年已经没有一点男子气概了，他似乎只能靠光鲜的衣饰来掩盖自己服役于情场后留下的伤害。不过有一点要赶紧说明，骑士的声音可以说是与他精美的金发形成了鲜明的对比。除非你赞同几位人类心脏研究者的观点，认为骑士的声音是从鼻腔里发出来的，否则，他洪亮饱满并带有回声的嗓音，一定会让你对他的发音器官感到惊异。他并没有古典音乐中男低音的音量，但他的声音略受压抑，十分悦耳，像是英国号角的音质，坚定而甜美，刚劲却柔和。","The only blemish was that this retired Adonis had nothing manly about him; he seemed to be employing this toilet varnish to hide the ruins occasioned by the military service of gallantry only.But we must hasten to add that his voice produced what might be called an antithesis to his blond delicacy.Unless you adopted the opinion of certain observers of the human heart, and thought that the chevalier had the voice of his nose, his organ of speech would have amazed you by its full and redundant sound.Without possessing the volume of classical bass voices, the tone of it was pleasing from a slightly muffled quality like that of an English bugle, which is firm and sweet, strong but velvety."
"骑士早已摒弃了某些保王党至今还穿着的那种可笑的礼服装束，他坦率地让自己变得摩登起来。人们总是看到他穿着一件有着镀金扣子的栗色上衣，配有金搭扣的棱纹塔夫绸半紧身裤，白色无绣花马甲，无领衬衣并打着领结——他并没有摒弃这种法国老式装束的特点，也许是因为这样能让他露出他的脖子，正如最光滑的修道院院长的脖子一般。他锃亮的黑色皮鞋上面镶着方形的扣环，惹人注目，现在的人已经对这种款式一无所知。骑士总是让两条表链平行地从他马甲的两个口袋中垂下来，这是另一种十八世纪的服装风格，备受督政府时期言谈做作、衣着奇特的年轻人推崇。这种过渡式装束将两个世纪的风格结合在一起，让骑士显得极具法国侯爵的优雅风格。自莫尔的最后一个门徒弗勒里谢世之后，这一秘密已经在法国消失了。","The chevalier had repudiated the ridiculous costume still preserved by certain monarchical old men; he had frankly modernized himself.He was always seen in a maroon-colored coat with gilt buttons, half-tight breeches of poult-de-soie with gold buckles, a white waistcoat without embroidery, and a tight cravat showing no shirt-collar,—a last vestige of the old French costume which he did not renounce, perhaps, because it enabled him to show a neck like that of the sleekest abbe.His shoes were noticeable for their square buckles, a style of which the present generation has no knowledge; these buckles were fastened to a square of polished black leather.The chevalier allowed two watch-chains to hang parallel to each other from each of his waistcoat pockets,—another vestige of the eighteenth century, which the Incroyables had not disdained to use under the Directory.This transition costume, uniting as it did two centuries, was worn by the chevalier with the high-bred grace of an old French marquis, the secret of which is lost to France since the day when Fleury, Mole’s last pupil, vanished."
"虽然看上去这老单身汉的私生活暴露在众目睽睽之下，但实际上却十分神秘。说得好听点，他住的地方还算不错，在河道街拉尔多太太房子的三楼；拉尔多太太是这座城市里最好也最忙的洗衣女工。这倒解释了为什么骑士的衬衣总是那么讲究的原因了。倒霉的是，终有一天，阿郎松城里的人相信骑士的所作所为并不完全符合绅士派头，因而感到内疚。事实上，他在晚年偷偷地娶了一个叫赛查丽娜的女人，还有了一个孩子，但这个孩子来得太过突然，谁都没有准备。","The private life of this old bachelor was apparently open to all eyes, though in fact it was quite mysterious.He lived in a lodging that was modest, to say the best of it, in the rue du Cours, on the second floor of a house belonging to Madame Lardot, the best and busiest washerwoman in the town.This circumstance will explain the excessive nicety of his linen.Ill-luck would have it that the day came when Alencon was guilty of believing that the chevalier had not always comported himself as a gentleman should, and that in fact he was secretly married in his old age to a certain Cesarine,—the mother of a child which had had the impertinence to come into the world without being called for."
"一位名叫迪布斯基耶的先生说：“他帮了那个女人，却被戴上了长期的枷锁。”","“He had given his hand,” as a certain Monsieur du Bousquier remarked, “to the person who had long had him under irons.”"
"这可怕的诽谤使骑士的晚年更加凄楚了，因为接下来的一幕将会说明，骑士多年的希望已经落空，而他为之牺牲了很多。","This horrible calumny embittered the last days of the dainty chevalier all the more because, as the present Scene will show, he had lost a hope long cherished to which he had made many sacrifices."
