"zh","en"
"瓶中手稿","Ms. Found in a Bottle"
"瓶中手稿","Ms. Found in a Bottle"
"作者：埃德加·爱伦·坡","by Edgar Allan Poe"
"人之将死，","Qui n’a plus qu’un moment a vivre"
"无可隐瞒。","N’a plus rien a dissimuler."
"——基诺《阿蒂斯》","—Quinault-Atys."
"于吾国吾家，我无话可说。时光荏苒，岁月无情，如今我背井离乡，疏远了家人。世袭的财产使我能够获得非凡的教育，而善于沉思的头脑又使我能够将早年勤奋习得的知识梳理捋顺。所习之物中，德国伦理学家的著作，我最是乐之；并非出于盲目崇拜他们雄辩的疯狂，而恰是由于我思路清晰的习惯，使我能轻而易举地察觉他们的虚伪之处。我常因天赋匮乏而遭诟病；而想象力缺乏亦被列为我的罪过，至于我思想中的怀疑论，更是使我声名狼藉。其实，我担心，由于对物理哲学的热爱，我脑中已被注入了这个年代的普遍错误——我指的是将偶然事件，即便是毫无关联之事追溯到某门科学原理的习惯。总之，没有人比我更难被蛊惑人心的迷信从残酷的现实中拖离。我觉得有必要先在此啰唆一番，以免我将要讲述的难以置信之事被认为是凭空臆想的胡言乱语，而非是本人——一个没有想象能力的人的亲身经历。","OF my country and of my family I have little to say.Ill usage and length of years have driven me from the one, and estranged me from the other.Hereditary wealth afforded me an education of no common order, and a contemplative turn of mind enabled me to methodize the stores which early study very diligently garnered up.—Beyond all things, the study of the German moralists gave me great delight; not from any ill-advised admiration of their eloquent madness, but from the ease with which my habits of rigid thought enabled me to detect their falsities.I have often been reproached with the aridity of my genius; a deficiency of imagination has been imputed to me as a crime; and the Pyrrhonism of my opinions has at all times rendered me notorious.Indeed, a strong relish for physical philosophy has, I fear, tinctured my mind with a very common error of this age—I mean the habit of referring occurrences, even the least susceptible of such reference, to the principles of that science.Upon the whole, no person could be less liable than myself to be led away from the severe precincts of truth by the ignes fatui of superstition.I have thought proper to premise thus much, lest the incredible tale I have to tell should be considered rather the raving of a crude imagination, than the positive experience of a mind to which the reveries of fancy have been a dead letter and a nullity."
"我在国外游荡了多年。一八几几年，我从位于富饶且人口众多的爪洼岛上的巴达维亚港出发，出海前往巽他群岛。我以乘客的身份出发了——并没有什么其他原因，只因我总感觉焦躁不安，而且这种焦灼如鬼魅般缠上了我。","After many years spent in foreign travel, I sailed in the year 18—, from the port of Batavia, in the rich and populous island of Java, on a voyage to the Archipelago of the Sunda islands.I went as passenger—having no other inducement than a kind of nervous restlessness which haunted me as a fiend."
"我们的船很漂亮，约重四百吨，镶着黄铜，是在孟买用马拉巴的柚木制造的。船上装了拉克代夫群岛的棉织品和油料。此外还有椰子壳纤维、椰子糖、酥油、椰子和几箱鸦片。货物装得很是潦草，因此船经常摇来晃去的。","Our vessel was a beautiful ship of about four hundred tons, copper-fastened, and built at Bombay of Malabar teak.She was freighted with cotton-wool and oil, from the Lachadive islands.We had also on board coir, jaggeree, ghee, cocoa-nuts, and a few cases of opium.The stowage was clumsily done, and the vessel consequently crank."
"我们起航时海上仅有微风阵阵，在爪哇的东海岸航行了很多天，没有什么事情可以消磨旅途中的无聊时光，唯有偶见一些自我们的目的地巽他群岛开来的小帆船。","We got under way with a mere breath of wind, and for many days stood along the eastern coast of Java, without any other incident to beguile the monotony of our course than the occasional meeting with some of the small grabs of the Archipelago to which we were bound."
"一天傍晚，我斜靠在船尾的栏杆上，望着西北方一朵形单影只的云彩。自离开巴达维亚以来，这是第一次看到云彩，且它的颜色也特别，便显得引人注意。我凝神遥望，直到夕阳西下。那时，那片云彩忽然向东西两边蔓延开来，在天水相连处形成一道窄窄的烟霞，看似一条长长的浅滩线。不多时，我的注意力便被暗红色的月亮和海上奇异景观所吸引。大海正快速变化着，海水呈现出一种不同寻常的透明。此时竟能清晰地看到海底，但我抛下铅陲一量，发现船下海水居然有15英寻之深。此时空气变得酷热难当，暑气氤氲盘旋，和从灼热的铁块上冒出来的并无二致。夜幕降临，仅有的一丝微风也消失殆尽，四周是难以想象的寂静。船尾上燃着的烛火纹丝不动，用食指和拇指捏着一根长发，也不见它有丝毫摆动。不过，船长说他没察觉到任何危险的迹象，而且我们整体也在向逐渐靠向岸边，因此他下令收起风帆，抛下铁锚。没有安排守夜人。水手们大多是马来人，在甲板上伸展着身子悠哉地躺下了。我下到船舱里，满是不祥的预感。说真的，我觉得所有的迹象都表明，西蒙风即将到来。我将担忧告诉船长，但他对我所说的不屑一顾，甚至懒得回答我一句就转身离去。我很是不安，难以入睡。大约午夜时分光景，我上了甲板。我刚将脚踏上舱室扶梯的最上面一阶，就被一阵巨大的嗡嗡声吓了一跳，那就像是水车轮子飞速转动的声音。我还没弄清楚是怎么回事，就发现船身由中心开始震动起来了。紧接着，一个巨浪朝船梁末端打来，一波接一波地同时攻向船头和船尾，洗劫了整个甲板。 ","One evening, leaning over the taffrail, I observed a very singular, isolated cloud, to the N.W.It was remarkable, as well for its color, as from its being the first we had seen since our departure from Batavia.I watched it attentively until sunset, when it spread all at once to the eastward and westward, girting in the horizon with a narrow strip of vapor, and looking like a long line of low beach.My notice was soon afterwards attracted by the dusky-red appearance of the moon, and the peculiar character of the sea.The latter was undergoing a rapid change, and the water seemed more than usually transparent.Although I could distinctly see the bottom, yet, heaving the lead, I found the ship in fifteen fathoms.The air now became intolerably hot, and was loaded with spiral exhalations similar to those arising from heat iron.As night came on, every breath of wind died away, an more entire calm it is impossible to conceive.The flame of a candle burned upon the poop without the least perceptible motion, and a long hair, held between the finger and thumb, hung without the possibility of detecting a vibration.However, as the captain said he could perceive no indication of danger, and as we were drifting in bodily to shore, he ordered the sails to be furled, and the anchor let go.No watch was set, and the crew, consisting principally of Malays, stretched themselves deliberately upon deck.I went below—not without a full presentiment of evil.Indeed, every appearance warranted me in apprehending a Simoom.I told the captain my fears; but he paid no attention to what I said, and left me without deigning to give a reply.My uneasiness, however, prevented me from sleeping, and about midnight I went upon deck.—As I placed my foot upon the upper step of the companion-ladder, I was startled by a loud, humming noise, like that occasioned by the rapid revolution of a mill-wheel, and before I could ascertain its meaning, I found the ship quivering to its centre.In the next instant, a wilderness of foam hurled us upon our beam-ends, and, rushing over us fore and aft, swept the entire decks from stem to stern."
