"zh","en"
"最后一片藤叶","The Last Leaf"
"作者：欧·亨利","by O. Henry"
"在华盛顿广场西侧的一个小型街区里，街道发了狂似的延伸，分裂成许多被称之为“街段”的小的条型地段。这些“街段”形成了很多奇特的角度和曲线。一条街道上通常会有一两个十字路口。一位艺术家曾发现这条街有一种珍贵的潜在价值。假设一个收款人带着账单来收颜料、画纸和画布的钱，他会在这条街上转来转去，突然发现自己又回到了原处，却连一分钱的账都没有收到手！","In a little district west of Washington Square the streets have run crazy and broken themselves into small strips called “places.”These “places” make strange angles and curves.One Street crosses itself a time or two.An artist once discovered a valuable possibility in this street.Suppose a collector with a bill for paints, paper and canvas should, in traversing this route, suddenly meet himself coming back, without a cent having been paid on account!"
"因此，搞艺术的人不久就来到了古色古香的格林尼治村。他们在格林泥治村徘徊闲逛，寻找朝北的窗户、十八世纪的三角墙、荷兰式的顶楼房，还有低廉的房租。接着，他们从第六大道运来了一些锡镴制的杯子和一两只火锅，把这地方变成了一个“聚居区”。","So, to quaint old Greenwich Village the art people soon came prowling, hunting for north windows and eighteenth-century gables and Dutch attics and low rents.Then they imported some pewter mugs and a chafing dish or two from Sixth Avenue, and became a “colony.”"
"休和约翰西的画室位于一幢低矮的三层砖房的顶层里。“约翰西”是乔安娜的昵称。她俩一个来自缅因州，一个来自加利福尼亚州。两人是在第八街的一家“德尔莫尼克餐厅”的宾客饭桌上认识的。她们发现彼此在艺术、菊苣色拉和灯笼袖方面的品味是如此相投，于是就有了那间合租的画室。","At the top of a squatty, three-story brick Sue and Johnsy had their studio.“Johnsy” was familiar for Joanna.One was from Maine; the other from California.They had met at the table d'hôte of an Eighth Street “Delmonico’s,” and found their tastes in art, chicory salad and bishop sleeves so congenial that the joint studio resulted."
"那是五月的事了。十一月的时候，一位冷酷无情且又无法见其身的不速之客——医生称其为肺炎，开始在聚居区周围昂首阔步，用他冰冷的手指摸摸这儿，碰碰那儿。在东区重击了大批受害者之后，这个破坏者肆无忌惮地跨了过来，然而，在穿过这些迷宫般的、狭窄而又长满苔藓的“街段”时，他的脚步慢了下来。","That was in May. In November a cold, unseen stranger, whom the doctors called Pneumonia, stalked about the colony, touching one here and there with his icy fingers.Over on the east side this ravager strode boldly, smiting his victims by scores, but his feet trod slowly through the maze of the narrow and moss-grown “places.”"
"肺炎先生可不是你们所说的那种富有骑士精神的老绅士。一个被加利福尼亚的西风吹得不剩什么血色的弱小女子，几乎不是那拳头染血、呼吸短促的老家伙的对手。但他击倒了约翰西。她躺在漆过的铁床上，几乎一动不动，只是透过那荷兰式的小玻璃窗格，望着旁边那座砖房的白墙。","Mr. Pneumonia was not what you would call a chivalric old gentleman.A mite of a little woman with blood thinned by California zephyrs was hardly fair game for the red-fisted, short-breathed old duffer.But Johnsy he smote; and she lay, scarcely moving, on her painted iron bedstead, looking through the small Dutch window-panes at the blank side of the next brick house."
"一天上午，忙碌的医生扬了扬他灰色的浓眉，示意休到走廊里去。","One morning the busy doctor invited Sue into the hallway with a shaggy, gray eyebrow."
"“她的病，可以说，只有十分之一的康复机会，”他边说边把体温计里的水银柱甩了下去，“而这十分之一的机会要靠她想活下去的愿望来争取。那些愿意和殡仪员站在一边的人，用所有的药物都是白费。你家的这位小姐已经断定自己不会好起来了。她有没有什么牵肠挂肚的事啊？”","“She has one chance in—let us say, ten,” he said, as he shook down the mercury in his clinical thermometer.“And that chance is for her to want to live.This way people have of lining-up on the side of the undertaker makes the entire pharmacopoeia look silly.Your little lady has made up her mind that she’s not going to get well.Has she anything on her mind?”"
"“她——她希望有一天能画那不勒斯海湾。”休说。","“She—she wanted to paint the Bay of Naples some day.” said Sue."
