"zh","en"
"母与女","Mother and Daughter"
"母与女","MOTHER AND DAUGHTER"
"作者：D. H. 劳伦斯","by D. H. Lawrence "
"弗吉尼娅·博多恩有一份好工作：她是某个政府部门的部门负责人，并且，如同巴尔扎克那样确切地说，她每年能挣七百五十英镑。","Virginia Bodoin had a good job: she was head of a department in a certain government office, held a responsible position, and earned, to imitate Balzac and be precise about it, seven hundred and fifty pounds a year."
"那已经够可观了。","That is already something."
"她的母亲雷切尔·博多恩，年收入则在六百英镑左右，自从那个从来都不是很重要的丈夫消失之后，她母亲就一直依靠这笔收入在欧洲各大城市轮流居住。","Rachel Bodoin, her mother, had an income of about six hundred a year, on which she had lived in the capitals of Europe since the effacement of a never very important husband."
"如今，经过几乎是完全分离和“自由”的几年之后，母女二人再次考虑安顿下来。","Now, after some years of virtual separation and “freedom”, mother and daughter once more thought of settling down."
"这些年之后，她们两人已经变得更像一对夫妇而不像母女了。","They had become, in course of time, more like a married couple than mother and daughter."
"她们的确非常了解彼此，而且各自对对方都有些“神经质”。","They knew one another very well indeed, and each was a little “nervous” of the other."
"她们时聚时散，已有好几次了。","They had lived together and parted several times."
"弗吉尼娅如今三十岁了，可是看不出她有结婚的打算。","Virginia was now thirty, and she didn’t look like marrying."
"四年来，她和亨利·卢伯克，一个喜爱音乐却被娇纵坏了的年轻人，好得如同结了婚一般。","For four years she had been as good as married to Henry Lubbock, a rather spoilt young man who was musical."
"后来，亨利让她失望了：有两个原因。","Then Henry let her down: for two reasons."
"一是他不能容忍她的母亲。","He couldn’t stand her mother."
"而她母亲也不能容忍他。","Her mother couldn’t stand him."
"另外，凡是博多恩太太不能容忍的人，她就会想方设法欺压人家，让人变得悲惨不已。","And anybody whom Mrs Bodoin could not stand she managed to sit on, disastrously."
"亨利遭到岳母的百般压制，感到十分苦恼。而弗吉尼娅呢，终究还是无可奈何地忠于自己的家族，站在了她母亲这一边。","So Henry had writhed horribly, feeling his mother-in-law sitting on him tight, and Virginia, after all, in a helpless sort of family loyalty, sitting alongside her mother."
"弗吉尼娅并不是真的想欺压亨利。","Virginia didn’t really want to sit on Henry."
"可是当她母亲教唆她时，她便没了主意。","But when her mother egged her on, she couldn’t help it."
"因为，归根结底她的母亲支配着她，那是一种神秘的女性力量，与父母的权威没有丝毫关系。","For ultimately, her mother had power over her; a strange female power, nothing to do with parental authority."
"弗吉尼娅早就把父母的权威抛到脑后了。","Virginia had long thrown parental authority to the winds."
"然而，她的母亲拥有另一种更为微妙的支配形式，柔弱却令人毛骨悚然，因此当雷切尔说：让我们制服他吧！","But her mother had another, much subtler form of domination, female and thrilling, so that when Rachel said: Let’s squash him!"
"弗吉尼娅便不得不恶狠狠地、欢欣鼓舞地赶忙加入到这场游戏当中。","Virginia had to rush wickedly and gleefully to the sport."
"而每逢亨利遭到排挤时，他都心知肚明。","And Henry knew quite well when he was being squashed."
"所以，那就是他背弃文尼的原因之一。他称她文尼，博多恩太太对此极为反感，总是纠正他说：“我女儿叫弗吉尼娅——”","So that was one of his reasons for going back on Vinny.—He called her Vinny, to the superlative disgust of Mrs Bodoin, who always corrected him: My daughter Virginia—"
"第二个原因，还是借用巴尔扎克的话说，弗吉尼娅那时是一文不名。","The second reason was, again to be Balzacian, that Virginia hadn’t a sou of her own."
"亨利只有可怜的二百五十英镑。","Henry had a sorry two hundred and fifty."
"弗吉尼娅呢，在二十四岁的时候，就已经能挣四百五十英镑了。","Virginia, at the age of twenty-four, was already earning four hundred and fifty."
"不过，那可是她挣的。","But she was earning them."
"而亨利靠着他那珍爱的音乐，每年才只能挣大约十二英镑。","Whereas Henry managed to earn about twelve pounds per annum, by his precious music."
"他意识到自己很难再挣得更多。","He had realized that he would find it hard to earn more."
"所以，除非娶一位能养他的妻子，否则，结婚便毫无可能。","So that marrying, except with a wife who could keep him, was rather out of the question."
"文尼会继承她母亲的财产。","Vinny would inherit her mother’s money."
"然而，博多恩太太拥有斯芬克斯那样的强健体魄和肌肉组织。","But then Mrs Bodoin had the health and muscular equipment of the Sphinx."
"她会一直活下去，寻觅她可以吞噬的男人，然后吞噬他。","She would live forever, seeking whom she might devour, and devouring him."
"亨利与文尼像夫妻一样，共同生活了两年：而且文尼感觉到他们确实结婚了，只差一个仪式罢了。","Henry lived with Vinny for two years, in the married sense of the words: and Vinny felt they were married, minus a mere ceremony."
