"zh","en"
"美人李婉","Li-wan\, the Fair"
"美人李婉","Li-wan, the Fair"
"作者：杰克·伦敦","by Jack London"
"“太阳落下了，卡尼姆，热气也散了！”","“The sun sinks, Canim, and the heat of the day is gone!”"
"李婉对一个把头埋在松鼠皮袍下的男人这样说道，但她说得很轻，好像有义务把他叫醒却又害怕他会醒来似的。因为她害怕她身材魁梧的大丈夫，他和她认识的其他男人都不一样。驼鹿肉不稳定地吱吱作响，于是她把煎锅往红色余火的边上挪了挪。她边做着边警惕地扫了那两条哈得孙湾狗一眼，只见它们紧盯着她的一举一动，鲜红舌头急不可耐地滴着口水。它们是那种体型高大、多毛的动物，蜷伏在背风处借着火堆发出的薄烟来躲避成群的蚊子。李婉向斜坡下望去，克朗代克河高涨的河水从两山间流过，一只狗像蠕虫一般向前爬行，爪子像猫一样把一大块滚烫的肉掏到了地上。但是李婉用余光看到了它，它啪地跳了回去，厉声咆哮起来，因为李婉用一根柴火棒敲了一下它的鼻子。","So called Li Wan to the man whose head was hidden beneath the squirrel-skin robe, but she called softly, as though divided between the duty of waking him and the fear of him awake.For she was afraid of this big husband of hers, who was like unto none of the men she had known.The moose-meat sizzled uneasily, and she moved the frying-pan to one side of the red embers.As she did so she glanced warily at the two Hudson Bay dogs dripping eager slaver from their scarlet tongues and following her every movement.They were huge, hairy fellows, crouched to leeward in the thin smoke-wake of the fire to escape the swarming myriads of mosquitoes.As Li Wan gazed down the steep to where the Klondike flung its swollen flood between the hills, one of the dogs bellied its way forward like a worm, and with a deft, catlike stroke of the paw dipped a chunk of hot meat out of the pan to the ground.But Li Wan caught him from out the tail of her eye, and he sprang back with a snap and a snarl as she rapped him over the nose with a stick of firewood."
"“不许这样，欧乐。”她大笑着把肉放了回去，眼睛依旧看着那条狗。“你总是饿，所以你的鼻子给你带来了无尽的麻烦。”","“Nay, Olo,” she laughed, recovering the meat without removing her eye from him.“Thou art ever hungry, and for that thy nose leads thee into endless troubles.”"
"可是欧乐的伙伴加入了它，和它一起挑战这个女人。一阵阵的愤怒使它们背上和肩上的毛发都竖了起来，它们薄薄的嘴唇扭动着，耸起难看的皱褶，露出能把肉撕碎的尖牙，又凶残又吓人。它们的鼻子呈锯齿状，残暴地抖动着，他们像狼一样咆哮，犬族的仇恨和狠毒驱使它们跳向李婉，把她拖倒在地。","But the mate of Olo joined him, and together they defied the woman.The hair on their backs and shoulders bristled in recurrent waves of anger, and the thin lips writhed and lifted into ugly wrinkles, exposing the flesh-tearing fangs, cruel and menacing.Their very noses serrulated and shook in brute passion, and they snarled as the wolves snarl, with all the hatred and malignity of the breed impelling them to spring upon the woman and drag her down."
"“还有你，巴什，和你的主人一样残忍，并且从不和喂养你的人和平相处！争吵和你无关，那个给你了！还有那个！”","“And thou, too, Bash, fierce as thy master and never at peace with the hand that feeds thee!This is not thy quarrel, so that be thine! and that!”"
"她呼喊着，用柴火驱赶它们，但是他们躲过了袭击，不肯后退。它们两个分开，从两边接近她，伏向地面，还咆哮着。从李婉在圆锥形帐篷里一摞摞皮毛中间蹒跚的时候，她就在和狼狗争夺统治权，她明白眼前是一个危机。巴什停了下来，它为前扑的动作绷紧了肌肉，而欧乐正要爬到攻击距离以内。","As she cried, she drove at them with the firewood, but they avoided the blows and refused to retreat.They separated and approached her from either side, crouching low and snarling.Li Wan had struggled with the wolf-dog for mastery from the time she toddled among the skin-bales of the teepee, and she knew a crisis was at hand.Bash had halted, his muscles stiff and tense for the spring; Olo was yet creeping into striking distance."
"她握住两根烧着的棍子烧焦的那一头，面对着这两个畜生。一条狗后退了，可是巴什跳了起来，她在半空中用这个燃烧的武器击中了它。巴什在土里打滚，空气中立刻传来痛苦的狺狺声，还有毛肉燃烧的味道，李婉将余火未尽的小木块塞到它嘴里了。它大声地叫着，快速转到李婉够不着的边侧，极为害怕地爬着以求安全。另一侧，欧乐已经开始向后撤，李婉抄起一根木头，重重地扔到它的肋骨上，提醒它这里谁做主。接着，在柴火接二连三的攻击下，那两只狗趴在帐篷边，一会儿舔舔伤口，一会儿呜咽咆哮。","Grasping two blazing sticks by the charred ends, she faced the brutes.The one held back, but Bash sprang, and she met him in mid-air with the flaming weapon.There were sharp yelps of pain and swift odors of burning hair and flesh as he rolled in the dirt and the woman ground the fiery embers into his mouth.Snapping wildly, he flung himself sidewise out of her reach and in a frenzy of fear scrambled for safety.Olo, on the other side, had begun his retreat, when Li Wan reminded him of her primacy by hurling a heavy stick of wood into his ribs.Then the pair retreated under a rain of firewood, and on the edge of the camp fell to licking their wounds and whimpering by turns and snarling."
"李婉把肉上的灰吹掉，然后坐了下来。她心情一点波动都没有，这件事已经过去，生活就是如此。刚才混乱的时候，卡尼姆动也没动，相反，他大声地打着鼾。","Li Wan blew the ashes off the meat and sat down again.Her heart had not gone up a beat, and the incident was already old, for this was the routine of life.Canim had not stirred during the disorder, but instead had set up a lusty snoring."
"“起来，卡尼姆！”她叫道，“白天的热气已经散了，咱们该启程了。”","“Come, Canim!” she called.“The heat of the day is gone, and the trail waits for our feet.”"
"松鼠皮袍子动了动，一条棕色的胳膊把它掀到了一边。接着，那个男人的眼皮动了一下又合上了。","The squirrel-skin robe was agitated and cast aside by a brown arm.Then the man’s eyelids fluttered and drooped again."
"“他的包很重，”她想，“而且早上的活计把他累坏了。”","“His pack is heavy,” she thought, “and he is tired with the work of the morning.”"
"一只蚊子叮在她脖子上，她顺手从附近拿起一个泥球，糊在没有湿泥保护的地方。整个早上，两人都在分水岭吃力地赶路，周围一大群虫子，浑身涂满了粘土，太阳下一晒，他们的脸上就像糊了一层粘土面具。这些面具随着面部肌肉的活动而裂开，需要不时地重新抹上泥土，因而厚度不均、不同角度有其各异的模样。","A mosquito stung her on the neck, and she daubed the unprotected spot with wet clay from a ball she had convenient to hand.All morning, toiling up the divide and enveloped in a cloud of the pests, the man and woman had plastered themselves with the sticky mud, which, drying in the sun, covered their faces with masks of clay.These masks, broken in divers places by the movement of the facial muscles, had constantly to be renewed, so that the deposit was irregular of depth and peculiar of aspect."
"李婉不停地轻推着卡尼姆，直到他醒过来坐起身。他先是扫了一眼太阳，依照天空计时器估摸着时间的早晚，接着弓着背向火边狼吞虎咽地吃起肉来。他是一个高大的印第安人，足足有六英尺那么高，胸膛结实，肌肉发达，比起其他印第安人，他的目光更有神，他的头脑更有活力。意志力在他的脸上留下深刻的痕迹，还有一种严厉和原始的气质，昭示着天生不屈的性格和坚定的意志，而一旦遭受失败时，就容易郁郁寡欢、愠怒残暴。","Li Wan shook Canim gently but with persistence till he roused and sat up.His first glance was to the sun, and after consulting the celestial timepiece he hunched over to the fire and fell-to ravenously on the meat.He was a large Indian fully six feet in height, deep-chested and heavy-muscled, and his eyes were keener and vested with greater mental vigor than the average of his kind.The lines of will had marked his face deeply, and this, coupled with a sternness and primitiveness, advertised a native indomitability, unswerving of purpose, and prone, when thwarted, to sullen cruelty."
"“李婉，咱们明天大吃一顿。”他吸干了一根骨头的髓液，然后把骨头扔给了狗。“咱们用猪油煎甜燕麦饼，加点糖，会更好吃——”","“To-morrow, Li Wan, we shall feast.”He sucked a marrow-bone clean and threw it to the dogs.“We shall have flapjacks fried in bacon grease, and sugar, which is more toothsome—”"
"“甜燕麦饼？”她问道，好奇地说出这个词。","“Flapjacks?” she questioned, mouthing the word curiously."
