"en","zh"
"The Water-Lily","睡莲花"
"by Andrew Lang","作者：安德鲁·朗格"
"Once upon a time, in a large forest, there lived an old woman and three maidens.","从前，在一片大森林里住着一位老妇人和三个少女。"
"They were all three beautiful, but the youngest was the fairest.","这三个少女都很漂亮，但最漂亮的要数最小的那个。"
"Their hut was quite hidden by trees, and none saw their beauty but the sun by day, and the moon by night, and the eyes of the stars.","她们的小屋被树丛藏得相当隐蔽，没有人看见过她们的美貌，除了白天的太阳、晚上的月亮以及星星的眼睛。"
"The old woman kept the girls hard at work, from morning till night, spinning gold flax into yarn, and when one distaff was empty another was given them, so they had no rest.","老妇人让她们从早到晚不停地努力工作，把金亚麻线纺成纱。当一个卷线杯空了，又会有另一个卷线杯送上来，所以她们没有休息的时候。"
"The thread had to be fine and even, and when done was locked up in a secret chamber by the old woman, who twice or thrice every summer went a journey.","她们纺的线必须精细、均匀，并且纺好的线会被老妇人锁在一间秘密的房子里，而老妇人则每年夏天去旅行两三次。"
"Before she went she gave out work for each day of her absence, and always returned in the night, so that the girls never saw what she brought back with her, neither would she tell them whence the gold flax came, nor what it was to be used for.","她走前，会把不在时每天的工作分配好，并且总是晚上回来，所以姑娘们从未见过她带回的是什么，而她也不会告诉她们金亚麻的来源以及它们的用途。"
"Now, when the time came round for the old woman to set out on one of these journeys, she gave each maiden work for six days, with the usual warning: “Children, don’t let your eyes wander, and on no account speak to a man, for, if you do, your thread will lose its brightness, and misfortunes of all kinds will follow.”","现在，老妇人出门旅行的时间又一次如期而至，她交给每位少女六天的任务，并像往常一样警告她们：“孩子们，不要让你们的眼睛四处张望，也绝不能和男子说话，因为，如果这样做的话，你们纺的线会失去光泽，各种不幸也会随之而至。”"
"They laughed at this oft-repeated caution, saying to each other: “How can our gold thread lose its brightness, and have we any chance of speaking to a man?”","她们对这经常重复的警告付之一笑，并对彼此说：“我们的金线又怎么能失去光泽呢，我们又怎能有任何机会和男子说话呢？”"
"On the third day after the old woman’s departure a young prince, hunting in the forest, got separated from his companions, and completely lost.","老妇人离开后的第三天，一位在森林里打猎的年轻王子和他的同伴们走散了，完全迷了路。"
"Weary of seeking his way, he flung himself down under a tree, leaving his horse to browse at will, and fell asleep.","他找路找得筋疲力尽，便倒在一棵树下，任由他的马儿随意吃草，自己睡着了。"
"The sun had set when he awoke and began once more to try and find his way out of the forest.","他醒来时太阳已下山，便开始再次试着找寻走出森林的路。"
"At last he perceived a narrow foot-path, which he eagerly followed and found that it led him to a small hut.","最后，他找到一条很窄的小径，便迫不及待地顺着小径走，发现自己来到了一座小屋面前。"
"The maidens, who were sitting at the door of their hut for coolness, saw him approaching, and the two elder were much alarmed, for they remembered the old woman’s warning; but the youngest said: “Never before have I seen anyone like him; let me have one look.”","少女们正坐在小屋门口乘凉。看到他走近，两位年长的少女都很惊恐，因为她们记得老妇人的警告；但是，最小的少女却说：“我以前从未见过像他这样的人，让我看一眼吧。”"
"They entreated her to come in, but, seeing that she would not, left her, and the Prince, coming up, courteously greeted the maiden, and told her he had lost his way in the forest and was both hungry and weary.","她们恳求她进屋，看到她不肯，便随她去了。王子走过来，礼貌地向少女问好，并告诉她自己在森林里迷了路，又饿又累。"
"She set food before him, and was so delighted with his conversation that she forgot the old woman’s caution, and lingered for hours.","她在他面前摆了些食物，和他愉悦地交谈着，以至于忘记了老妇人的警告，谈了好几个小时。"
"In the meantime the Prince’s companions sought him far and wide, but to no purpose, so they sent two messengers to tell the sad news to the King, who immediately ordered a regiment of cavalry and one of infantry to go and look for him.","而此时，王子的同伴们正到处找他，但是毫无结果。于是，他们便派两名信使把这个悲伤的消息告诉了国王。国王立刻派了一支骑兵团和一支步兵团去寻找王子。"
"After three days’ search, they found the hut.","搜寻三天后，他们发现了这间小屋。"
"The Prince was still sitting by the door and had been so happy in the maiden’s company that the time had seemed like a single hour.","王子依然坐在门前，他在少女的陪伴下如此开心，以至于时间似乎只过了一个小时。"
"Before leaving he promised to return and fetch her to his father’s court, where he would make her his bride.","在走之前，他承诺会回来接她到他父亲的王宫，并在那里娶她为妻。"
"When he had gone, she sat down to her wheel to make up for lost time, but was dismayed to find that her thread had lost all its brightness.","他走后，她在纺轮前坐了下来以弥补她落下的时间，但却沮丧地发现她纺的线失去了所有的光泽。"
"Her heart beat fast and she wept bitterly, for she remembered the old woman’s warning and knew not what misfortune might now befall her.","她开始心跳加快，然后悲痛地哭了起来，因为她记起了老妇人的警告，不知道如今会有什么不幸可能降临在她身上。"
"The old woman returned in the night and knew by the tarnished thread what had happened in her absence.","老妇人晚上回来了，看到暗淡无光的纺线，便明白了在她离开期间发生了什么事情。"
"She was furiously angry and told the maiden that she had brought down misery both on herself and on the Prince.","她大发雷霆，告诉少女她不仅给自己，也给王子带来了不幸。"
"The maiden could not rest for thinking of this.","想到这点，少女无法平静。"
"At last she could bear it no longer, and resolved to seek help from the Prince.","最后，她再也忍不住了，决定向王子寻求帮助。"
"As a child she had learned to understand the speech of birds, and this was now of great use to her, for, seeing a raven pluming itself on a pine bough, she cried softly to it: “Dear bird, cleverest of all birds, as well as swiftest on wing, wilt thou help me?”","当她还是个孩子的时候，就已经学会了听鸟儿说话，而现在正好派上用场。因为，她看到一只乌鸦正在一棵松树枝上梳理自己的羽毛，便轻声地向它喊道：“亲爱的鸟儿，所有鸟类中最聪明、飞得最快的鸟儿，你愿意帮助我吗？”"
"“How can I help thee?” asked the raven.","“我怎样才能帮你呢？”乌鸦问道。"
